grade confidence_level
Wrong 4.546875
Wrong 5.234375
Wrong 5.12109375
Correct 4.80078125
Correct 5.1875
Correct 4.73046875
Wrong 4.44140625
Wrong 4.05078125
Wrong 2.9140625
Wrong 4.71484375
Wrong 4.2265625
Wrong 3.220703125
Wrong 4.74609375
Wrong 5.23828125
Wrong 5.140625
Correct 4.7265625
Wrong 4.7265625
Wrong 5.08984375
Wrong 4.84375
Correct 4.84765625
Wrong 5.05078125
Wrong 4.83984375
Wrong 4.47265625
Correct 6.00390625
Correct 5.17578125
Correct 5.640625
Wrong 4.29296875
Correct 5.52734375
Correct 4.98046875
Wrong 4.82421875
Wrong 3.771484375
Correct 4.3046875
Wrong 5.328125
Wrong 4.3359375
Wrong 4.46484375
Wrong 3.818359375
Wrong 4.12109375
Wrong 4.25390625
Unparseable 0
Wrong 4.44921875
Correct 4.84375
Wrong 4.38671875
Wrong 3.681640625
Correct 4.64453125
Wrong 3.380859375
Wrong 3.078125
Correct 4.58203125
Wrong 1.62890625
Wrong 5.2734375
Wrong 4.265625
Correct 5.0
Wrong 5.1875
Wrong 4.74609375
Wrong 5.05078125
Correct 3.74609375
Wrong 5.68359375
Wrong 5.53515625
Wrong 3.578125
Correct 4.734375
Correct 4.66015625
Wrong 4.12109375
Wrong 3.404296875
Correct 4.73046875
Correct 5.34375
Correct 4.17578125
Wrong 3.890625
Correct 4.3515625
Wrong 3.755859375
Correct 4.4140625
Wrong 4.64453125
Wrong 4.78515625
Wrong 4.1796875
Wrong 4.8359375
Wrong 4.91796875
Wrong 4.36328125
Wrong 4.765625
Correct 3.798828125
Correct 3.705078125
Wrong 5.36328125
Wrong 3.400390625
Wrong 4.2578125
Wrong 3.853515625
Correct 5.265625
Wrong 4.85546875
Wrong 4.609375
Wrong 4.92578125
Wrong 5.14453125
Wrong 4.859375
Wrong 4.59375
Wrong 4.78125
Correct 4.44921875
Correct 4.26171875
Wrong 5.58984375
Wrong 4.80078125
Wrong 5.41015625
Wrong 3.224609375
Correct 4.2890625
Wrong 4.41796875
Correct 4.125
Wrong 4.51953125
Wrong 5.1796875
Wrong 3.94140625
Correct 4.41796875
Wrong 4.75
Wrong 4.2109375
Wrong 4.71875
Wrong 4.51171875
Wrong 3.96484375
Wrong 3.966796875
Wrong 5.609375
Wrong 5.03125
Wrong 3.841796875
Correct 4.8671875
Wrong 3.939453125
Wrong 4.3671875
Wrong 5.2578125
Wrong 4.71484375
Wrong 4.05859375
Wrong 4.5625
Wrong 4.15234375
Wrong 5.94140625
Wrong 5.69140625
Wrong 4.39453125
Wrong 4.1328125
Wrong 4.98046875
Correct 5.28125
Wrong 4.265625
Wrong 4.13671875
Correct 4.8671875
Correct 6.328125
Wrong 5.74609375
Correct 3.15234375
Correct 4.453125
Wrong 3.640625
Correct 4.33984375
Wrong 5.98046875
Wrong 4.1328125
Correct 4.5703125
Wrong 4.62109375
Wrong 4.3046875
Wrong 4.66796875
Wrong 4.13671875
Correct 4.26171875
Wrong 4.3515625
Wrong 6.0234375
Wrong 5.0859375
Correct 5.26953125
Wrong 4.390625
Wrong 4.0234375
Wrong 5.55859375
Wrong 4.4453125
Wrong 4.671875
Correct 5.5546875
Wrong 4.546875
Wrong 5.04296875
Wrong 5.8984375
Wrong 3.89453125
Wrong 3.8828125
Correct 4.08203125
Wrong 3.640625
Wrong 5.9921875
Correct 4.328125
Correct 3.841796875
Wrong 5.26953125
Correct 3.640625
Wrong 4.3125
Wrong 5.9140625
Wrong 4.73828125
Wrong 4.30078125
Wrong 5.1171875
Wrong 4.47265625
Wrong 4.7734375
Correct 4.9765625
Wrong 4.03515625
Correct 4.1640625
Wrong 3.79296875
Wrong 4.32421875
Correct 5.03125
Wrong 3.0859375
Wrong 3.888671875
Correct 5.45703125
Wrong 6.44140625
Correct 4.24609375
Wrong 4.4296875
Wrong 4.80859375
Wrong 4.5234375
Correct 5.25390625
Wrong 4.73828125
Wrong 3.716796875
Wrong 4.87890625
Wrong 4.46484375
Correct 4.375
Wrong 4.4375
Wrong 3.583984375
Correct 5.0078125
Wrong 4.78125
Correct 3.85546875
Wrong 4.296875
Wrong 5.1875
Correct 3.896484375
Wrong 4.02734375
Wrong 4.296875
Wrong 3.951171875
Wrong 3.84375
Correct 4.53515625
Wrong 5.53125
Wrong 4.390625
Correct 3.826171875
Wrong 3.19921875
Correct 3.767578125
Wrong 5.359375
Wrong 4.4453125
Wrong 5.1953125
Wrong 5.42578125
Correct 5.3515625
Wrong 3.5078125
Correct 4.078125
Wrong 4.62890625
Wrong 4.55859375
Wrong 4.12109375
Wrong 5.35546875
Wrong 4.8671875
Wrong 4.44140625
Wrong 4.6875
Correct 4.28515625
Wrong 2.447265625
Wrong 4.1015625
Wrong 4.45703125
Correct 4.71875
Wrong 3.833984375
Wrong 4.6796875
Wrong 5.1640625
Wrong 5.81640625
Wrong 4.12890625
Wrong 4.8359375
Wrong 4.33203125
Wrong 4.33984375
Wrong 4.72265625
Wrong 5.26953125
Wrong 4.49609375
Wrong 3.958984375
Wrong 4.84765625
Correct 4.390625
Wrong 4.296875
Wrong 4.45703125
Correct 3.919921875
Wrong 3.828125
Wrong 4.28515625
Wrong 5.26953125
Wrong 4.71875
Wrong 5.62890625
Correct 5.40625
Correct 5.33203125
Correct 4.6015625
Wrong 5.59375
Wrong 3.90625
Correct 4.45703125
Correct 4.44921875
Wrong 4.0546875
Wrong 3.796875
Wrong 4.41015625
Correct 4.32421875
Wrong 3.1484375
Wrong 3.837890625
Wrong 4.171875
Wrong 4.08203125
Correct 3.923828125
Correct 4.53125
Wrong 4.73046875
Correct 4.39453125
Wrong 3.970703125
Wrong 4.8984375
Wrong 3.876953125
Wrong 4.77734375
Wrong 4.73046875
Wrong 4.47265625
Wrong 3.865234375
Wrong 4.1875
Correct 4.72265625
Correct 3.9375
Wrong 4.921875
Wrong 4.1640625
Wrong 4.77734375
Correct 4.83984375
Wrong 4.97265625
Wrong 5.22265625
Wrong 4.9921875
Wrong 4.8515625
Wrong 2.810546875
Wrong 4.1484375
Wrong 5.15625
Correct 4.359375
Wrong 4.3359375
Wrong 5.0546875
Correct 3.4375
Wrong 4.4375
Wrong 4.703125
Correct 5.83203125
Wrong 4.59375
Wrong 5.55859375
Correct 4.8828125
Wrong 3.884765625
Correct 4.6640625
Wrong 4.17578125
Wrong 4.1875
Wrong 4.2265625
Wrong 4.1015625
Correct 4.75
Correct 4.36328125
Wrong 5.24609375
Wrong 4.87890625
Wrong 3.935546875
Correct 5.125
Wrong 4.89453125
Wrong 3.859375
Wrong 4.3828125
Wrong 5.19140625
Wrong 4.7734375
Wrong 4.875
Wrong 4.1875
Wrong 5.16796875
Wrong 4.828125
Correct 4.1875
Wrong 4.41796875
Wrong 4.6796875
Wrong 4.546875
Wrong 3.337890625
Wrong 3.75390625
Wrong 3.76171875
Wrong 4.59765625
Wrong 4.65234375
Wrong 3.98828125
Correct 5.06640625
Wrong 5.00390625
Wrong 3.68359375
Correct 4.84765625
Wrong 3.5546875
Wrong 4.18359375
Wrong 4.3984375
Wrong 1.4873046875
Correct 4.9375
Wrong 4.5
Wrong 4.2578125
Wrong 4.6015625
Wrong 4.390625
Wrong 5.0546875
Wrong 5.09765625
Wrong 4.82421875
Wrong 4.6328125
Wrong 4.55859375
Wrong 4.75
Wrong 4.00390625
Wrong 4.44140625
Wrong 4.41796875
Wrong 4.515625
Wrong 5.03125
Wrong 4.328125
Wrong 3.685546875
Wrong 4.6640625
Correct 5.23828125
Wrong 4.79296875
Wrong 5.46875
Wrong 5.125
Correct 4.32421875
Correct 4.03515625
Wrong 4.5625
Correct 4.53515625
Wrong 5.8203125
Wrong 4.52734375
Wrong 5.76953125
Wrong 4.48046875
Wrong 4.046875
Wrong 3.98046875
Correct 4.09375
