grade confidence_level
Correct 34.0
Wrong 32.3125
Correct 36.03125
Correct 35.21875
Correct 33.40625
Correct 35.4375
Correct 35.78125
Correct 35.09375
Correct 32.90625
Wrong 33.21875
Wrong 35.71875
Wrong 34.03125
Correct 34.75
Correct 33.34375
Correct 33.1875
Correct 34.71875
Correct 34.15625
Correct 35.53125
Correct 32.0
Correct 33.4375
Wrong 35.59375
Correct 35.65625
Correct 35.0
Wrong 31.171875
Wrong 32.90625
Correct 36.59375
Correct 32.5625
Correct 36.3125
Correct 34.25
Correct 35.5625
Correct 32.875
Correct 33.34375
Wrong 32.0625
Wrong 31.25
Correct 33.25
Correct 36.53125
Correct 32.03125
Correct 32.78125
Wrong 31.484375
Wrong 31.921875
Correct 35.15625
Wrong 34.09375
Correct 35.21875
Correct 36.84375
Correct 35.09375
Correct 34.03125
Correct 30.5625
Wrong 33.03125
Wrong 32.5
Wrong 34.25
Correct 35.5
Correct 35.03125
Correct 34.78125
Correct 34.0
Wrong 34.21875
Correct 35.375
Correct 35.96875
Correct 33.75
Correct 34.9375
Wrong 32.375
Correct 36.21875
Correct 31.046875
Correct 34.34375
Wrong 35.71875
Correct 35.71875
Correct 31.59375
Wrong 33.625
Correct 35.1875
Correct 35.21875
Correct 34.90625
Correct 33.4375
Correct 34.28125
Correct 34.21875
Correct 34.90625
Correct 30.875
Correct 35.40625
Correct 37.0625
Correct 36.0
Correct 33.71875
Correct 35.40625
Correct 32.71875
Wrong 32.15625
Correct 35.03125
Wrong 33.0
Wrong 30.640625
Correct 34.28125
Correct 34.96875
Correct 37.46875
Correct 36.1875
Correct 35.59375
Correct 33.59375
Correct 31.796875
Correct 35.9375
Correct 35.40625
Correct 34.4375
Correct 33.21875
Wrong 32.4375
Correct 33.0
Correct 34.96875
Wrong 30.53125
Correct 35.6875
Correct 34.4375
Correct 35.15625
Wrong 31.671875
Correct 35.09375
Correct 37.0
Wrong 32.8125
Wrong 29.65625
Wrong 34.6875
Correct 34.8125
Correct 35.375
Correct 35.65625
Correct 35.5625
Correct 32.46875
Correct 35.15625
Correct 34.65625
Correct 34.78125
Correct 35.34375
Correct 34.125
Wrong 33.4375
Correct 33.1875
Correct 35.90625
Correct 35.25
Correct 35.3125
Correct 36.21875
Correct 33.75
Correct 33.5
Correct 34.28125
Wrong 30.484375
Correct 33.875
Correct 33.90625
Correct 37.5625
Correct 34.90625
Correct 36.4375
Correct 31.328125
Correct 31.609375
Wrong 34.84375
Correct 33.65625
Wrong 32.6875
Correct 33.65625
Correct 32.75
Correct 34.625
Wrong 31.390625
Wrong 34.34375
Correct 36.125
Correct 35.09375
Correct 35.4375
Correct 34.8125
Correct 35.875
Correct 31.5
Correct 35.15625
Correct 35.5625
Correct 33.9375
Wrong 34.8125
Correct 33.78125
Wrong 31.5
Correct 33.0625
Correct 35.96875
Correct 33.84375
Correct 33.53125
Correct 33.84375
Wrong 31.734375
Correct 35.90625
Correct 34.53125
Correct 35.15625
Correct 35.09375
Correct 35.96875
Correct 35.46875
Wrong 35.28125
Correct 35.78125
Correct 34.9375
Correct 34.59375
Correct 35.6875
Correct 32.46875
Correct 36.78125
Correct 30.84375
Correct 32.5625
Correct 36.09375
Wrong 32.21875
Correct 35.4375
Correct 32.0625
Correct 36.46875
Correct 34.09375
Correct 33.96875
Correct 34.8125
Wrong 31.734375
Correct 33.1875
Correct 34.3125
Correct 35.78125
Wrong 35.5
Wrong 31.015625
Correct 33.9375
Correct 34.5625
Wrong 31.875
Correct 36.21875
Correct 30.953125
Correct 34.59375
Correct 36.15625
Wrong 35.125
Wrong 32.5
Correct 33.34375
Wrong 35.0
Correct 32.40625
Correct 34.71875
Correct 31.171875
Correct 33.90625
Correct 34.21875
Correct 36.25
Correct 34.3125
Correct 35.03125
Wrong 32.125
Correct 37.78125
Wrong 31.515625
Correct 33.25
Correct 34.40625
Correct 35.09375
Correct 31.8125
