grade confidence_level
Correct 26.9375
Correct 30.234375
Wrong 29.234375
Correct 28.78125
Correct 24.609375
Correct 27.484375
Correct 26.859375
Correct 27.828125
Correct 26.5625
Correct 30.046875
Correct 25.0625
Wrong 20.546875
Correct 25.953125
Correct 27.84375
Correct 31.0625
Correct 29.09375
Correct 30.1875
Correct 31.359375
Correct 28.734375
Correct 25.484375
Correct 34.0625
Correct 29.78125
Correct 25.703125
Correct 27.4375
Wrong 27.84375
Wrong 28.25
Correct 33.03125
Wrong 24.8125
Wrong 22.4375
Correct 32.40625
Correct 27.75
Correct 30.875
Correct 29.03125
Correct 30.140625
Wrong 23.9375
Correct 26.015625
Wrong 25.765625
Wrong 20.546875
Correct 22.921875
Correct 28.609375
Correct 28.703125
Correct 28.3125
Correct 31.90625
Correct 23.3125
Correct 30.34375
Correct 31.828125
Correct 34.0
Correct 30.375
Correct 30.375
Correct 30.84375
Correct 29.953125
Correct 29.5625
Correct 21.5625
Correct 27.5
Correct 23.6875
Correct 31.796875
Correct 26.765625
Correct 29.359375
Correct 28.875
Correct 30.296875
Correct 28.46875
Correct 31.640625
Correct 28.046875
Correct 27.703125
Correct 26.390625
Correct 30.921875
Correct 31.15625
Correct 29.65625
Wrong 29.03125
Correct 28.84375
Correct 30.390625
Wrong 32.28125
Wrong 29.125
Correct 31.359375
Correct 30.21875
Correct 27.015625
Wrong 24.515625
Correct 28.421875
Correct 28.46875
Correct 29.125
Correct 27.578125
Wrong 28.546875
Correct 29.734375
Correct 27.46875
Correct 31.3125
Wrong 30.09375
Correct 31.3125
Correct 27.421875
Correct 27.390625
Correct 23.25
Correct 25.046875
Correct 29.375
Wrong 25.328125
Correct 31.09375
Correct 27.21875
Wrong 26.234375
Correct 29.4375
Correct 27.09375
Wrong 31.296875
Wrong 32.21875
Correct 26.34375
Correct 27.203125
Correct 31.703125
Correct 27.703125
Correct 28.40625
Correct 23.171875
Correct 28.09375
Correct 30.375
Correct 26.171875
Wrong 30.015625
Correct 28.484375
Correct 28.078125
Correct 30.765625
Correct 30.34375
Correct 28.765625
Correct 32.625
Correct 30.3125
Correct 29.28125
Correct 28.5
Correct 26.875
Correct 29.671875
Correct 30.25
Correct 28.953125
Correct 27.078125
Wrong 27.28125
Correct 33.78125
Wrong 25.828125
Correct 26.453125
Correct 25.140625
Correct 26.625
Wrong 21.703125
Correct 24.0625
Correct 29.03125
Correct 31.078125
Correct 33.8125
Correct 32.34375
Correct 24.84375
Correct 16.546875
Correct 25.890625
Correct 26.78125
Correct 29.1875
Correct 22.125
Correct 27.5625
Correct 24.8125
Wrong 24.0
Correct 31.625
Wrong 24.96875
Wrong 29.0625
Wrong 26.28125
