grade confidence_level
Unparseable 0
Unparseable 0
Wrong 22.15625
Wrong 23.6875
Wrong 26.109375
Wrong 22.484375
Wrong 22.453125
Wrong 22.40625
Unparseable 0
Unparseable 0
Wrong 28.625
Unparseable 0
Wrong 22.75
Wrong 22.84375
Correct 25.703125
Wrong 26.515625
Wrong 21.984375
Correct 26.671875
Wrong 21.71875
Correct 25.5625
Wrong 21.71875
Correct 22.90625
Wrong 21.328125
Wrong 27.09375
Correct 23.03125
Wrong 22.046875
Wrong 26.984375
Wrong 22.90625
Wrong 22.453125
Unparseable 0
Correct 21.328125
Unparseable 0
Unparseable 0
Wrong 22.796875
Wrong 21.796875
Wrong 22.375
Correct 24.15625
Wrong 26.3125
Wrong 21.609375
Correct 21.234375
Wrong 23.359375
Wrong 22.203125
Wrong 21.078125
Wrong 21.671875
Unparseable 0
Wrong 23.5625
Wrong 23.09375
Unparseable 0
Unparseable 0
Correct 25.8125
Wrong 22.421875
Correct 22.578125
Wrong 22.1875
Wrong 23.09375
Unparseable 0
Wrong 23.40625
Unparseable 0
Wrong 21.78125
Correct 20.734375
Wrong 23.25
Wrong 25.421875
Correct 30.359375
Wrong 23.421875
Correct 23.921875
Correct 23.796875
Wrong 23.015625
Unparseable 0
Wrong 22.125
Wrong 21.53125
Wrong 22.8125
Wrong 22.640625
Wrong 29.859375
Wrong 21.140625
Wrong 22.25
Wrong 22.21875
Wrong 23.0
Wrong 22.328125
Wrong 26.21875
Correct 27.84375
Wrong 24.234375
Wrong 22.390625
Wrong 22.296875
Wrong 25.640625
Unparseable 0
Correct 24.046875
Unparseable 0
Wrong 23.46875
Wrong 29.203125
Wrong 22.5625
Wrong 23.90625
Wrong 22.671875
Wrong 23.671875
Wrong 24.40625
Wrong 22.25
Unparseable 0
Wrong 23.328125
Wrong 28.5625
Correct 22.75
Wrong 21.609375
Unparseable 0
Correct 23.0625
Wrong 26.46875
Wrong 25.21875
Wrong 26.828125
Wrong 21.421875
Wrong 27.625
Correct 22.578125
Correct 21.40625
Correct 22.75
Wrong 24.59375
Unparseable 0
Unparseable 0
Correct 23.5
Correct 28.109375
Wrong 22.09375
Correct 22.5
Unparseable 0
Wrong 25.125
Correct 22.53125
Wrong 23.828125
Wrong 22.53125
Unparseable 0
Wrong 21.40625
Unparseable 0
Wrong 28.328125
Wrong 21.890625
Correct 23.0625
Wrong 22.671875
Wrong 22.703125
Correct 22.5
Unparseable 0
Wrong 22.515625
Wrong 20.875
Wrong 23.40625
Wrong 23.09375
Wrong 22.34375
