grade confidence_level
Correct 21.3125
Correct 29.515625
Correct 26.4375
Correct 25.734375
Correct 21.75
Correct 28.328125
Correct 26.03125
Correct 25.03125
Correct 34.0
Correct 23.9375
Wrong 25.328125
Wrong 31.1875
Correct 32.9375
Correct 27.453125
Correct 27.734375
Correct 31.765625
Unparseable 0
Correct 29.859375
Correct 25.796875
Correct 27.9375
Correct 25.75
Correct 25.90625
Correct 26.34375
Correct 25.90625
Wrong 28.3125
Correct 25.375
Correct 25.265625
Correct 32.125
Wrong 24.21875
Wrong 24.859375
Correct 26.15625
Wrong 24.765625
Wrong 26.953125
Correct 20.203125
Correct 25.734375
Correct 25.640625
Wrong 21.671875
Correct 26.34375
Correct 26.0
Correct 25.203125
Correct 28.625
Correct 24.640625
Correct 27.859375
Correct 24.890625
Correct 23.046875
Correct 26.625
Wrong 27.0625
Correct 20.1875
Correct 25.84375
Correct 28.171875
Correct 26.5625
Correct 27.265625
Correct 26.390625
Correct 23.65625
Wrong 35.375
Correct 26.875
Correct 24.15625
Correct 31.515625
Correct 25.609375
Correct 27.421875
Wrong 22.4375
Correct 24.890625
Correct 25.546875
Correct 26.40625
Correct 28.484375
Correct 26.4375
Correct 21.953125
Wrong 20.59375
Correct 27.890625
Correct 25.6875
Wrong 23.203125
Correct 20.46875
Correct 27.984375
Correct 29.921875
Wrong 25.78125
Correct 30.484375
Correct 26.4375
Correct 27.359375
Correct 29.65625
Correct 26.53125
Correct 25.875
Correct 30.015625
Wrong 29.234375
Correct 26.4375
Correct 23.265625
Correct 24.140625
Wrong 24.90625
Correct 20.34375
Wrong 23.265625
Correct 24.9375
Wrong 23.28125
Correct 26.8125
Wrong 26.984375
Correct 23.953125
Wrong 26.234375
Wrong 22.953125
Correct 25.296875
Wrong 21.484375
Correct 24.921875
Correct 25.859375
Wrong 23.28125
Wrong 27.578125
Wrong 25.140625
Wrong 31.5625
Correct 24.65625
Wrong 25.140625
Correct 27.90625
Correct 29.359375
Correct 25.109375
Correct 27.328125
Correct 22.75
Wrong 24.515625
Correct 23.015625
Correct 26.625
Correct 25.71875
Correct 28.5625
Wrong 20.140625
Correct 28.265625
Correct 30.421875
Wrong 25.046875
Correct 24.53125
Correct 19.640625
Correct 27.109375
Correct 25.984375
Correct 24.875
Wrong 21.90625
Correct 22.109375
Correct 28.03125
Correct 27.03125
Correct 26.5625
Correct 27.453125
Wrong 30.171875
Wrong 29.703125
Correct 19.8125
Correct 27.71875
Correct 24.40625
Wrong 21.546875
Correct 25.375
Correct 28.640625
Wrong 26.03125
Correct 23.953125
Correct 29.703125
Correct 24.25
Correct 26.375
Correct 30.21875
Correct 27.015625
Correct 23.71875
Correct 22.0625
Correct 30.921875
Correct 22.671875
Correct 24.296875
Correct 29.921875
Correct 27.296875
Correct 24.8125
Wrong 24.4375
Correct 24.90625
Correct 25.609375
Correct 23.1875
Correct 23.15625
Correct 28.390625
Correct 20.25
Correct 30.28125
Correct 24.078125
Correct 29.0625
Correct 24.15625
Wrong 16.984375
Correct 26.234375
Correct 27.421875
Correct 26.6875
Correct 27.125
Correct 20.671875
Correct 28.671875
Correct 28.15625
Correct 29.53125
Correct 31.09375
Correct 30.171875
Correct 29.453125
Correct 26.671875
Wrong 24.75
Correct 26.15625
Correct 25.375
Correct 26.953125
Wrong 27.875
Correct 26.1875
Correct 25.328125
Correct 27.390625
Correct 30.140625
Correct 30.1875
Wrong 20.390625
Correct 30.71875
Correct 26.421875
Correct 28.453125
Correct 26.046875
Correct 26.75
Correct 27.6875
Wrong 27.484375
Wrong 32.375
Correct 27.3125
Wrong 31.359375
Correct 24.359375
Correct 26.984375
Correct 30.765625
Correct 26.234375
Correct 29.015625
Correct 25.703125
Correct 24.625
Wrong 19.546875
Correct 20.921875
Correct 24.546875
Wrong 20.609375
Wrong 22.90625
Correct 27.265625
Correct 30.625
Correct 21.546875
Correct 24.796875
Correct 28.703125
Correct 28.1875
Correct 27.921875
Correct 27.453125
Correct 24.609375
Correct 29.671875
Correct 32.59375
Correct 23.703125
Correct 25.859375
Correct 20.46875
Wrong 25.578125
Wrong 26.125
Correct 25.828125
Correct 20.25
Correct 27.234375
Correct 25.21875
Wrong 23.421875
Correct 24.328125
Wrong 26.59375
Correct 19.765625
Correct 31.03125
Correct 28.875
Wrong 27.609375
Correct 29.703125
Correct 21.734375
Wrong 28.859375
Correct 29.515625
Correct 26.078125
Correct 28.75
Wrong 23.515625
Correct 30.5
Correct 30.171875
Correct 26.421875
Correct 29.875
Correct 24.4375
Correct 30.484375
Wrong 28.53125
Correct 25.578125
Correct 28.078125
Correct 21.71875
Correct 22.0
Correct 28.03125
Wrong 23.015625
Correct 26.265625
Correct 28.390625
Wrong 21.53125
Correct 25.046875
Wrong 24.6875
Correct 25.296875
Correct 21.625
Wrong 23.484375
Correct 20.46875
Wrong 24.140625
Correct 25.390625
Correct 28.984375
Correct 27.296875
Correct 27.03125
Correct 25.953125
Correct 24.90625
Correct 28.078125
Correct 27.40625
Correct 25.65625
Correct 26.0
Correct 27.328125
Correct 27.75
Correct 24.28125
Correct 34.46875
Correct 26.515625
Correct 25.328125
Correct 27.15625
Correct 29.6875
Wrong 26.328125
Correct 29.90625
Correct 28.0
Correct 29.28125
Correct 19.125
Correct 30.46875
Correct 26.9375
Wrong 27.234375
Correct 27.15625
Correct 26.875
Correct 26.140625
Correct 27.015625
Correct 26.8125
Wrong 24.578125
Correct 23.921875
Correct 29.265625
Correct 33.5
Correct 27.046875
Wrong 24.640625
Correct 22.984375
Correct 27.859375
Correct 23.75
Correct 26.4375
Correct 26.09375
Correct 29.578125
Wrong 30.609375
Correct 32.6875
Correct 24.5625
Correct 27.625
Correct 25.984375
Correct 24.578125
Correct 24.953125
Correct 25.578125
Correct 19.09375
Correct 26.765625
Wrong 32.46875
Correct 22.578125
Wrong 20.203125
Correct 24.734375
Correct 29.296875
Correct 27.5625
Correct 24.984375
Correct 22.453125
Correct 26.234375
Wrong 23.09375
Correct 31.765625
Wrong 31.0
Correct 33.25
Correct 26.6875
Correct 32.25
Correct 26.421875
Correct 33.25
Correct 31.625
Wrong 26.78125
Correct 31.921875
Correct 27.109375
Correct 28.953125
Wrong 24.15625
Wrong 22.53125
Wrong 21.015625
Correct 21.984375
Correct 27.15625
Correct 22.71875
Correct 19.125
Wrong 26.90625
Correct 23.890625
Correct 27.4375
Correct 25.046875
Correct 24.6875
Correct 29.640625
Correct 25.59375
Correct 25.9375
Correct 25.21875
Correct 26.53125
Wrong 26.515625
Wrong 22.296875
Correct 27.515625
Correct 22.96875
Correct 23.03125
Wrong 22.890625
Correct 25.765625
Correct 27.734375
Correct 26.546875
Correct 28.140625
Correct 28.234375
Correct 25.671875
Wrong 20.046875
Correct 26.296875
Wrong 28.5625
Correct 30.296875
Wrong 21.3125
Correct 30.796875
Correct 23.84375
Correct 24.65625
Correct 25.65625
Correct 22.703125
Wrong 26.28125
Correct 26.1875
Correct 28.796875
Correct 26.421875
Correct 31.5625
Correct 27.4375
Correct 21.0
Correct 27.9375
Correct 28.703125
Wrong 24.21875
Correct 22.203125
Correct 17.703125
Wrong 22.671875
Correct 28.140625
Wrong 21.109375
Correct 27.390625
Correct 29.578125
Wrong 20.484375
Correct 24.234375
Wrong 27.859375
Wrong 18.1875
Correct 25.609375
Correct 22.828125
Correct 24.859375
Wrong 31.703125
Wrong 18.640625
Correct 26.53125
Wrong 24.84375
Correct 28.359375
Correct 26.859375
Correct 25.15625
Correct 28.828125
Correct 25.015625
Wrong 25.75
Correct 32.5625
Correct 27.578125
Correct 25.140625
Correct 26.34375
Correct 30.25
Wrong 23.875
Wrong 25.484375
Correct 27.765625
Wrong 24.78125
Correct 27.453125
Wrong 29.921875
Correct 23.15625
Correct 26.046875
Correct 26.015625
Correct 25.640625
Correct 24.421875
Correct 24.578125
Wrong 27.53125
Wrong 26.296875
Correct 22.796875
Correct 30.3125
Correct 25.421875
Wrong 20.734375
Correct 30.140625
Wrong 26.71875
Wrong 25.078125
Wrong 19.875
Correct 27.453125
Wrong 21.28125
Correct 23.75
Correct 26.171875
Correct 30.40625
Correct 25.265625
Correct 25.546875
Correct 23.96875
Correct 23.046875
Correct 28.0
Correct 29.265625
Correct 27.546875
Correct 25.453125
Correct 27.640625
Correct 22.703125
Correct 24.46875
Correct 21.890625
Correct 29.453125
Correct 26.40625
Correct 25.40625
Correct 26.828125
Wrong 24.875
Correct 24.234375
Correct 24.6875
Correct 26.46875
Wrong 33.3125
Correct 23.890625
Correct 25.59375
Correct 24.734375
Wrong 22.78125
Correct 28.21875
Correct 29.015625
Correct 27.328125
Correct 24.75
Correct 24.6875
Correct 32.5625
Correct 28.015625
Wrong 28.578125
Correct 30.234375
Correct 27.140625
Correct 28.125
Wrong 30.734375
Correct 27.46875
Wrong 28.171875
Correct 26.78125
Correct 25.3125
Correct 24.890625
Correct 25.140625
Correct 23.921875
Wrong 28.171875
Wrong 28.53125
Correct 25.375
Wrong 23.328125
Correct 30.890625
Correct 27.515625
Correct 24.015625
Correct 19.140625
