grade confidence_level
Correct 43.78125
Correct 35.84375
Correct 37.6875
Correct 40.34375
Wrong 33.75
Wrong 30.09375
Wrong 41.0
Correct 49.46875
Correct 42.8125
Correct 38.71875
Correct 34.53125
Correct 49.0
Correct 42.28125
Correct 40.625
Wrong 40.9375
Wrong 42.6875
Correct 40.09375
Correct 35.78125
Correct 40.34375
Wrong 45.65625
Correct 37.25
Correct 41.09375
Wrong 31.421875
Correct 36.875
Correct 41.125
Wrong 41.65625
Correct 43.875
Correct 42.5625
Correct 47.25
Correct 36.1875
Correct 45.4375
Wrong 41.53125
Correct 46.5
Wrong 31.484375
Wrong 43.65625
Correct 38.0625
Correct 38.8125
Wrong 39.3125
Correct 41.1875
Wrong 39.9375
Correct 44.9375
Wrong 39.25
Wrong 35.84375
Correct 43.0
Correct 45.0625
Wrong 33.6875
Correct 40.53125
Wrong 43.09375
Wrong 43.21875
Correct 38.03125
Correct 38.53125
Wrong 34.96875
Correct 36.21875
Wrong 34.375
Wrong 43.5
Wrong 40.28125
Correct 37.875
Wrong 43.46875
Correct 48.125
Correct 44.5625
Correct 41.75
Wrong 35.71875
Correct 41.9375
Wrong 38.9375
Wrong 27.515625
Wrong 43.875
Wrong 42.21875
Correct 36.6875
Correct 35.59375
Correct 43.5
Correct 40.0625
Wrong 36.9375
Wrong 44.96875
Wrong 32.625
Wrong 47.0
Wrong 44.96875
Correct 42.40625
Wrong 42.125
Correct 40.78125
Wrong 40.03125
Correct 39.1875
Wrong 38.34375
Wrong 42.03125
Wrong 44.1875
Correct 43.3125
Correct 38.6875
Wrong 36.78125
Wrong 40.0
Wrong 46.09375
Correct 38.96875
Correct 37.5625
Wrong 35.375
Wrong 32.75
Correct 36.78125
Correct 40.09375
Correct 43.125
Correct 35.5
Wrong 37.0
Correct 41.9375
Wrong 36.4375
Wrong 40.1875
Wrong 39.46875
Wrong 34.625
Correct 42.5625
Correct 41.84375
Correct 32.03125
Wrong 41.25
Wrong 37.4375
Wrong 43.09375
Correct 41.8125
Correct 44.84375
Wrong 38.59375
Wrong 35.21875
Correct 32.875
Correct 42.96875
Correct 36.1875
Correct 46.46875
Correct 42.28125
Wrong 46.40625
Correct 41.90625
Wrong 39.75
Wrong 44.6875
Correct 46.875
Correct 31.703125
Correct 44.71875
Correct 41.25
Wrong 46.59375
Correct 40.125
Wrong 42.53125
Wrong 36.53125
Correct 46.15625
Correct 42.75
Wrong 47.03125
Correct 47.0
Wrong 35.53125
Correct 42.03125
Correct 43.4375
Correct 39.90625
Wrong 42.5625
Wrong 46.875
Correct 44.625
Correct 42.125
Correct 41.4375
Correct 38.125
Correct 40.5
Correct 40.625
Correct 35.96875
Wrong 39.75
Wrong 36.25
Correct 42.9375
Wrong 32.625
Correct 41.03125
Correct 36.5
Wrong 37.0
Wrong 40.65625
Correct 39.0625
Wrong 38.78125
Correct 39.75
Correct 42.0
Correct 27.234375
Correct 39.21875
Correct 44.9375
Correct 40.875
Correct 34.40625
Wrong 40.8125
Wrong 31.84375
Correct 32.90625
Correct 37.65625
Wrong 48.5625
Correct 46.34375
Correct 37.15625
Correct 41.875
Correct 37.09375
Wrong 31.421875
Correct 48.3125
Correct 36.4375
Wrong 47.875
Correct 45.40625
Wrong 32.625
Correct 39.71875
Correct 45.6875
Correct 46.5
Correct 37.46875
Correct 40.3125
Wrong 43.0625
Wrong 41.34375
Correct 36.53125
Wrong 37.6875
Correct 41.0625
Correct 39.9375
Correct 39.625
Wrong 38.78125
Wrong 39.65625
Wrong 36.875
Correct 33.78125
Correct 40.4375
Wrong 38.65625
Correct 34.65625
Correct 43.09375
Wrong 48.96875
Wrong 35.65625
Correct 39.875
Correct 42.28125
Correct 42.84375
Correct 34.53125
Wrong 41.1875
Correct 44.84375
Correct 35.65625
Correct 42.03125
Correct 44.46875
Correct 37.8125
Correct 40.0
Wrong 35.0625
Correct 41.1875
Wrong 37.3125
Wrong 33.875
Wrong 43.9375
Correct 37.90625
Correct 43.59375
Correct 37.8125
Correct 36.34375
Wrong 43.3125
Correct 46.46875
Wrong 36.625
Correct 42.75
Correct 39.21875
Wrong 39.9375
Correct 37.8125
Correct 47.1875
Correct 42.71875
Correct 39.71875
Correct 48.0625
Correct 42.53125
Correct 42.03125
Correct 28.1875
Correct 43.125
Correct 44.15625
Wrong 44.5625
Correct 45.625
Wrong 39.53125
Correct 40.78125
Wrong 36.78125
Correct 40.6875
Correct 40.25
Wrong 39.90625
Correct 40.59375
Wrong 41.34375
Correct 36.28125
Correct 42.8125
Wrong 38.59375
Correct 36.34375
Correct 36.84375
Correct 39.59375
Correct 34.71875
Correct 44.96875
Correct 38.5
Wrong 44.03125
Correct 41.03125
Wrong 45.71875
Correct 47.3125
Correct 34.78125
Wrong 37.65625
Correct 41.15625
Correct 42.34375
Correct 36.34375
Correct 46.5625
Correct 42.8125
Correct 35.4375
Correct 41.21875
Correct 40.46875
Wrong 38.34375
Correct 39.78125
Correct 40.34375
Wrong 40.59375
Wrong 46.0
Correct 38.09375
Correct 46.3125
Correct 39.0
Correct 42.53125
Wrong 42.46875
Correct 39.25
Correct 39.75
Correct 40.09375
Wrong 40.6875
Correct 38.25
Wrong 36.21875
Wrong 43.875
Correct 40.65625
Correct 43.03125
Correct 44.125
Correct 37.78125
Wrong 39.875
Wrong 38.78125
Wrong 48.0625
Correct 45.09375
Wrong 31.765625
Wrong 47.75
Wrong 31.890625
Correct 37.40625
Correct 46.28125
Correct 40.15625
Wrong 34.625
Correct 37.21875
Wrong 38.71875
Correct 42.90625
Correct 39.59375
Correct 40.75
Correct 42.59375
Correct 44.25
Wrong 40.25
Correct 38.4375
Correct 33.5
Wrong 39.5625
Correct 38.59375
Wrong 41.71875
Correct 38.625
Correct 42.53125
Wrong 39.34375
Correct 38.0
Correct 45.25
Correct 40.53125
Correct 42.625
Correct 30.90625
Correct 42.4375
Correct 46.15625
Wrong 36.625
Wrong 41.8125
Correct 46.8125
Wrong 42.1875
Correct 43.0625
Correct 35.75
Correct 38.25
Correct 36.09375
Correct 40.96875
Correct 40.84375
Correct 43.125
Wrong 42.15625
Correct 40.96875
Correct 38.5625
Wrong 34.6875
Correct 41.0625
Wrong 31.375
Correct 44.6875
Wrong 35.625
Wrong 30.109375
Wrong 36.34375
Wrong 31.0625
Wrong 37.0
Wrong 30.59375
Correct 41.65625
Correct 39.8125
Wrong 41.78125
Correct 47.3125
Correct 47.8125
Wrong 32.5
Correct 47.875
Correct 40.8125
Wrong 29.96875
Correct 38.5625
Correct 36.90625
Correct 42.25
Correct 41.6875
Correct 42.34375
Correct 37.5625
Correct 46.53125
Correct 37.90625
Correct 38.0
Wrong 36.53125
Correct 39.53125
Correct 43.1875
Wrong 40.125
Wrong 43.125
Correct 40.28125
Correct 35.1875
Correct 42.1875
Correct 44.15625
Correct 35.53125
Wrong 34.8125
Wrong 39.40625
Correct 34.25
Wrong 35.9375
Correct 42.21875
Wrong 40.59375
Correct 40.0
Wrong 36.15625
Correct 40.8125
Correct 42.8125
Wrong 39.96875
Wrong 38.8125
Wrong 38.1875
Correct 39.96875
Correct 36.1875
Correct 38.53125
Wrong 35.8125
Wrong 39.96875
Correct 42.75
Wrong 33.40625
Wrong 33.375
Correct 41.25
Correct 45.34375
Wrong 43.03125
Correct 36.5625
Wrong 36.59375
Wrong 40.53125
Wrong 41.09375
Wrong 34.78125
Wrong 39.125
Correct 34.65625
Correct 41.4375
Correct 45.8125
Correct 43.59375
Correct 42.09375
Correct 41.90625
Correct 46.8125
Correct 40.09375
Wrong 37.90625
Correct 41.375
Wrong 37.75
Wrong 43.0625
Correct 39.21875
Wrong 35.9375
Correct 46.25
Correct 41.25
Wrong 37.46875
Correct 47.53125
Correct 43.3125
Wrong 36.0
Correct 44.875
Correct 39.84375
Correct 33.5
Correct 37.5625
Wrong 42.40625
Correct 38.875
Correct 42.625
Correct 48.15625
Wrong 33.21875
Correct 44.96875
Wrong 35.46875
Correct 47.375
Wrong 37.8125
Correct 38.90625
Correct 38.78125
Wrong 43.5
Correct 39.15625
Correct 38.875
Correct 40.90625
Correct 46.0625
Correct 41.1875
Wrong 40.71875
Wrong 42.84375
Correct 39.21875
Wrong 41.34375
Wrong 47.09375
Correct 44.3125
Correct 34.78125
Wrong 37.71875
Correct 42.5
Wrong 45.59375
Wrong 37.46875
Correct 39.21875
Correct 48.6875
Correct 37.78125
Correct 31.1875
Correct 40.90625
Correct 43.78125
Correct 46.125
Wrong 45.125
Correct 44.875
Wrong 40.21875
Correct 43.5625
Wrong 28.921875
Wrong 35.6875
Correct 40.65625
Correct 36.9375
Correct 44.78125
Correct 44.71875
Correct 43.90625
Wrong 45.75
Correct 42.90625
Wrong 35.84375
Correct 47.09375
Correct 37.21875
Correct 44.96875
Correct 34.78125
Wrong 35.78125
Correct 41.625
Correct 45.0625
Wrong 39.28125
Wrong 38.6875
Wrong 39.65625
Wrong 35.03125
Wrong 40.125
Correct 38.65625
Correct 40.40625
Wrong 34.15625
Wrong 39.75
Correct 39.75
Wrong 43.03125
Correct 41.4375
Correct 35.125
