grade confidence_level
Wrong 28.140625
Wrong 27.203125
Correct 26.859375
Correct 22.640625
Wrong 22.359375
Correct 23.28125
Wrong 22.375
Correct 22.40625
Correct 27.484375
Correct 23.296875
Wrong 21.96875
Wrong 22.9375
Wrong 22.875
Correct 22.421875
Correct 22.859375
Correct 22.890625
Wrong 22.546875
Correct 27.5
Correct 22.484375
Unparseable 0
Wrong 23.1875
Unparseable 0
Wrong 23.09375
Correct 23.015625
Wrong 21.890625
Correct 27.21875
Wrong 26.140625
Correct 23.203125
Correct 22.828125
Wrong 23.125
Wrong 21.6875
Wrong 22.453125
Wrong 23.28125
Wrong 26.21875
Correct 22.390625
Wrong 22.453125
Wrong 22.359375
Correct 22.375
Correct 22.90625
Wrong 23.671875
Correct 22.5
Correct 23.03125
Wrong 23.203125
Wrong 22.453125
Correct 22.375
Wrong 22.78125
Correct 22.640625
Correct 22.359375
Wrong 23.0625
Correct 22.171875
Unparseable 0
Unparseable 0
Wrong 22.53125
Wrong 22.578125
Correct 23.375
Wrong 26.5
Correct 23.75
Unparseable 0
Correct 22.0625
Correct 22.421875
Wrong 26.40625
Correct 22.796875
Correct 22.90625
Correct 23.5
Wrong 22.21875
Correct 22.859375
Correct 23.328125
Unparseable 0
Correct 22.546875
Wrong 22.28125
Wrong 23.25
Correct 22.3125
Wrong 23.21875
Correct 22.59375
Wrong 27.578125
Unparseable 0
Wrong 27.328125
Wrong 23.5
Correct 22.5625
Correct 23.359375
Wrong 22.796875
Wrong 22.9375
Correct 22.453125
Unparseable 0
Correct 23.328125
Correct 23.125
Wrong 22.0625
Correct 22.921875
Wrong 22.8125
Correct 22.828125
Correct 22.375
Wrong 23.40625
Wrong 23.328125
Wrong 22.9375
Unparseable 0
Correct 23.0
Wrong 22.75
Correct 23.25
Correct 22.40625
Unparseable 0
Wrong 22.703125
Correct 23.078125
Wrong 23.421875
Wrong 22.640625
Wrong 22.640625
Correct 22.765625
Correct 22.65625
Correct 22.359375
Correct 23.03125
Correct 22.703125
Correct 23.09375
Wrong 22.875
Wrong 27.234375
Wrong 22.375
Correct 23.28125
Correct 23.40625
Wrong 22.578125
Wrong 22.96875
Correct 23.40625
Correct 22.5625
Correct 22.765625
Wrong 22.609375
Wrong 22.640625
Correct 22.953125
Wrong 23.1875
Correct 26.515625
Correct 25.671875
Correct 23.265625
Correct 22.6875
Correct 23.015625
Correct 22.921875
Unparseable 0
Correct 22.9375
Wrong 22.625
Unparseable 0
Correct 22.65625
Wrong 23.71875
Wrong 21.90625
Correct 22.0
Wrong 22.734375
Correct 23.625
Wrong 23.421875
Correct 23.46875
Unparseable 0
Wrong 22.15625
Correct 22.546875
Correct 22.40625
Wrong 22.40625
Correct 22.921875
Correct 23.15625
Wrong 23.03125
Wrong 22.578125
Correct 23.125
Correct 23.328125
Wrong 23.609375
Correct 22.84375
Wrong 22.78125
Correct 22.1875
Correct 22.140625
Wrong 22.296875
Wrong 22.90625
Wrong 23.046875
Wrong 21.828125
Correct 23.03125
Unparseable 0
Wrong 23.28125
Wrong 27.5625
Correct 25.6875
Correct 21.984375
Wrong 23.34375
Correct 23.453125
Wrong 25.734375
Wrong 22.421875
Wrong 22.359375
Correct 22.453125
Wrong 22.890625
Wrong 22.140625
Wrong 22.765625
Unparseable 0
Correct 22.375
Wrong 22.6875
Wrong 22.578125
Wrong 23.328125
Unparseable 0
Correct 23.15625
Correct 21.828125
Correct 22.1875
Correct 22.046875
Wrong 22.421875
Wrong 22.703125
Wrong 22.609375
