grade confidence_level
Wrong 25.25
Wrong 21.46875
Correct 27.609375
Correct 27.296875
Wrong 21.609375
Wrong 26.703125
Correct 21.25
Wrong 27.8125
Wrong 25.0625
Wrong 26.25
Wrong 25.609375
Wrong 25.984375
Correct 25.734375
Wrong 27.40625
Correct 26.15625
Correct 27.9375
Correct 25.40625
Wrong 26.515625
Wrong 27.46875
Correct 26.625
Wrong 27.5
Wrong 22.796875
Correct 25.390625
Correct 25.25
Correct 22.9375
Correct 26.921875
Correct 25.8125
Wrong 26.625
Correct 28.484375
Wrong 25.046875
Wrong 27.515625
Wrong 26.15625
Correct 27.5
Wrong 27.578125
Correct 27.671875
Wrong 25.171875
Correct 27.296875
Wrong 27.046875
Wrong 26.265625
Wrong 24.171875
Correct 25.875
Wrong 25.625
Wrong 24.53125
Wrong 27.28125
Wrong 26.5
Correct 25.484375
Wrong 27.90625
Wrong 21.375
Correct 26.3125
Correct 26.734375
Wrong 26.5625
Correct 21.453125
Wrong 26.234375
Wrong 25.4375
Correct 26.015625
Wrong 25.015625
Correct 26.125
Correct 26.046875
Correct 24.8125
Correct 23.015625
Correct 27.59375
Correct 25.796875
Wrong 26.734375
Correct 28.34375
Wrong 27.0
Correct 27.0625
Correct 20.953125
Wrong 24.59375
Wrong 24.8125
Wrong 21.125
Correct 26.421875
Correct 28.375
Wrong 27.1875
Correct 25.609375
Wrong 27.765625
Correct 23.875
Correct 25.765625
Wrong 26.515625
Wrong 27.328125
Correct 22.8125
Wrong 27.703125
Wrong 28.28125
Wrong 20.953125
Wrong 25.90625
Correct 26.03125
Correct 26.296875
Correct 24.90625
Wrong 30.1875
Wrong 22.625
Correct 28.3125
Wrong 27.0
Correct 25.6875
Wrong 26.53125
Correct 28.78125
Wrong 22.078125
Correct 26.84375
Wrong 27.265625
Wrong 28.15625
Wrong 27.125
Correct 26.25
Wrong 24.9375
Correct 27.328125
Correct 26.609375
Wrong 24.78125
Wrong 24.453125
Wrong 24.9375
Correct 26.5625
Correct 26.78125
Wrong 27.515625
Correct 21.46875
Correct 25.015625
Correct 27.8125
Wrong 25.84375
Correct 27.171875
Correct 26.9375
Correct 25.5625
Wrong 26.9375
Wrong 25.71875
Correct 25.703125
Correct 27.390625
Wrong 24.9375
Wrong 25.1875
Correct 25.640625
Wrong 25.90625
Wrong 27.34375
Correct 26.09375
Correct 27.59375
Correct 27.828125
Correct 26.234375
Correct 21.703125
Correct 27.390625
Wrong 26.484375
Wrong 21.921875
Correct 27.5
Correct 29.28125
Wrong 25.828125
Wrong 26.34375
Correct 26.5
Correct 22.921875
Wrong 25.34375
Correct 25.59375
Correct 24.890625
Wrong 20.765625
Correct 26.953125
Correct 25.171875
Correct 22.390625
Correct 28.71875
Wrong 27.578125
Correct 21.8125
Wrong 25.28125
Wrong 27.484375
Wrong 20.34375
Correct 27.3125
Wrong 26.421875
Correct 28.0625
Correct 25.734375
Wrong 27.078125
Correct 27.40625
Correct 22.078125
Wrong 26.171875
Correct 26.65625
Correct 27.21875
Wrong 23.1875
Wrong 28.140625
Wrong 25.265625
Wrong 20.875
Correct 25.78125
Correct 23.171875
Correct 28.0625
Correct 27.34375
Wrong 26.375
Wrong 25.15625
Wrong 25.90625
Correct 27.03125
Wrong 26.078125
Wrong 26.078125
Correct 23.5
Correct 28.671875
Correct 23.9375
Wrong 27.171875
Correct 28.421875
Correct 22.359375
Correct 27.203125
Wrong 26.0
Correct 28.578125
Wrong 22.96875
Correct 26.75
Correct 25.03125
Correct 26.328125
Wrong 28.59375
Correct 27.046875
Wrong 20.90625
Wrong 26.34375
Wrong 26.890625
Wrong 25.234375
Correct 26.5
Wrong 27.1875
Correct 26.203125
Wrong 27.3125
Wrong 22.34375
Correct 27.421875
Wrong 23.75
Wrong 25.078125
Correct 27.5625
Wrong 27.015625
Correct 26.046875
Correct 22.96875
Wrong 26.75
Correct 27.5625
Wrong 25.015625
Wrong 27.578125
Wrong 21.890625
Wrong 20.484375
Correct 27.796875
Correct 26.734375
Wrong 24.0625
Correct 27.171875
Correct 28.78125
Correct 27.25
Correct 23.09375
Wrong 25.171875
Wrong 27.34375
Correct 20.421875
Wrong 26.6875
Correct 25.515625
Correct 27.140625
Wrong 26.9375
Wrong 26.765625
Wrong 25.46875
Correct 27.453125
Correct 24.65625
Wrong 23.9375
Correct 28.03125
Correct 27.046875
Correct 21.34375
Correct 28.96875
Correct 24.921875
Wrong 28.203125
Wrong 26.84375
Wrong 25.0625
Correct 24.609375
Correct 26.3125
Correct 21.1875
Correct 25.0
Correct 26.75
Correct 26.625
Correct 25.421875
Correct 19.671875
Wrong 18.0625
Correct 23.8125
Correct 27.125
Correct 29.0
Correct 24.40625
Correct 26.34375
Correct 25.578125
Wrong 26.5
Wrong 18.953125
Correct 25.203125
Wrong 25.609375
Wrong 25.40625
Wrong 25.875
Correct 27.0625
Wrong 28.0625
Correct 28.515625
Wrong 26.390625
Correct 21.234375
Correct 25.0
Wrong 22.1875
Wrong 23.046875
Correct 23.546875
Wrong 22.90625
Wrong 27.078125
Wrong 27.3125
Correct 21.640625
Correct 24.109375
Wrong 27.25
Wrong 25.21875
Correct 27.953125
Wrong 26.515625
Correct 28.5
Correct 27.375
Wrong 26.46875
Correct 25.734375
Wrong 24.0
Correct 26.3125
Correct 26.859375
Correct 24.953125
Wrong 27.5
Correct 27.578125
Wrong 24.453125
Wrong 26.515625
Correct 26.625
Correct 27.0625
Correct 23.515625
Wrong 26.859375
Correct 27.40625
Correct 28.09375
Correct 23.96875
Wrong 25.75
Correct 26.984375
Correct 19.859375
Wrong 27.765625
Wrong 23.671875
Correct 23.59375
Correct 25.265625
Correct 24.046875
Correct 24.046875
Wrong 27.25
Wrong 28.140625
Correct 24.859375
Correct 24.734375
Wrong 23.484375
Correct 22.4375
Correct 27.953125
Correct 26.890625
Wrong 28.5625
Wrong 28.25
Wrong 22.453125
Wrong 25.140625
Wrong 27.6875
Wrong 26.953125
Wrong 25.4375
Wrong 26.359375
Wrong 27.953125
Correct 26.375
Wrong 26.40625
Wrong 26.453125
Correct 25.453125
Correct 18.3125
Correct 27.5
Wrong 22.265625
Correct 27.59375
Correct 25.703125
Wrong 23.984375
Wrong 25.734375
Wrong 26.625
Wrong 26.1875
Correct 28.671875
Correct 26.671875
Correct 28.578125
Wrong 19.5625
