grade confidence_levels
Wrong 4.731423377990723,22.328636169433594,17.171916961669922,7.609543800354004
Wrong 6.098083972930908,8.746461868286133,14.867243766784668,23.906274795532227
Wrong 21.50003433227539,10.717811584472656,12.875082969665527,13.476611137390137
Wrong 6.2391886711120605,5.745306968688965,13.937580108642578,7.316711902618408,14.750144958496094,23.17190933227539
Correct 23.093769073486328,5.892560958862305,20.07815170288086
Wrong 9.656476020812988,4.183213233947754,7.105655670166016,24.03126335144043,7.555053234100342,7.793267250061035
Wrong 7.176172256469727,9.213865280151367,21.906288146972656,6.758261203765869
Correct 6.422067165374756,2.4879496097564697,7.636794090270996,27.40625762939453
Correct 5.949965953826904,21.39141082763672,9.226737976074219,5.348566055297852,5.012308120727539,5.118154048919678,6.356709003448486,4.470489501953125
Correct 3.051736831665039,1.8298377990722656,23.812522888183594,5.277585029602051
Wrong 24.98438262939453,5.913779258728027,16.000017166137695
Correct 25.7187557220459,3.683387041091919,6.480620384216309
Wrong 10.297152519226074,11.996378898620605,20.42194938659668,9.172383308410645,7.0866780281066895,3.905965566635132
Wrong 6.238450527191162,4.090846538543701,5.773501873016357,27.875001907348633
Wrong 5.856032371520996,4.660539150238037,18.484434127807617,21.51567840576172
Wrong 5.496668338775635,20.047521591186523,5.996463775634766,7.047268390655518
Wrong 6.504740238189697,14.907464027404785,7.809153079986572,10.515973091125488,10.078393936157227
Wrong 5.453547954559326,3.3542044162750244,23.359386444091797,7.4845404624938965,15.18754768371582
Correct 5.598134517669678,5.606570243835449,23.6875057220459,8.070385932922363,5.761991500854492
Correct 25.156253814697266,6.493207931518555,4.187670707702637
Wrong 5.656987190246582,24.000911712646484
Wrong 5.535412311553955,0.5846006870269775,3.020338296890259,4.312713623046875,2.052137613296509,2.8913402557373047,1.8628686666488647,2.8682003021240234,16.406278610229492,11.773577690124512,1.6252201795578003,21.17188835144043,2.374037742614746
Correct 23.390640258789062,3.652750253677368,4.047411918640137,4.9183030128479,3.1119601726531982
Wrong 6.207156658172607,2.8597474098205566,10.679755210876465,6.886866569519043,25.703134536743164,9.453216552734375
Correct 27.328126907348633,6.825198173522949
Correct 10.406364440917969,23.406414031982422,12.937529563903809,5.988501071929932,5.148586273193359
Correct 5.613507270812988,2.5943989753723145,5.437592029571533,27.671876907348633
Correct 11.984538078308105,14.368497848510742,11.281486511230469
Correct 11.359963417053223,18.128517150878906,16.96885108947754,8.891383171081543,7.254674434661865
Correct 24.781253814697266,8.09731674194336
Wrong 17.109594345092773,2.913522243499756,18.234434127807617,5.156976699829102,5.329575538635254,15.421998977661133
Correct 3.8287744522094727,0.5758932828903198,24.453142166137695,11.92190933227539
Correct 24.9375057220459,4.7750630378723145,8.445374488830566,7.125037670135498
Correct 5.847894668579102,2.7618966102600098,8.937538146972656,27.843751907348633
Wrong 22.28127670288086,13.760093688964844,11.42198371887207,9.218879699707031
Correct 25.1562557220459,9.884498596191406,4.383293151855469
Correct 6.50784158706665,1.8599151372909546,4.836142539978027,5.7657976150512695,27.750001907348633
