grade confidence_level
Wrong 3.8671875
Wrong 3.95703125
Wrong 4.7421875
Correct 3.650390625
Correct 3.029296875
Wrong 4.109375
Wrong 4.34765625
Wrong 3.361328125
Wrong 3.3203125
Wrong 3.998046875
Correct 3.28515625
Wrong 2.2578125
Wrong 4.296875
Correct 4.95703125
Wrong 4.39453125
Correct 3.8828125
Wrong 4.1875
Wrong 4.08203125
Wrong 4.15625
Correct 3.087890625
Correct 4.015625
Wrong 4.375
Wrong 3.88671875
Wrong 5.71875
Wrong 4.68359375
Wrong 3.25390625
Wrong 3.986328125
Correct 4.703125
Correct 4.375
Wrong 3.900390625
Wrong 3.66015625
Correct 3.451171875
Wrong 4.2734375
Wrong 3.373046875
Wrong 3.552734375
Wrong 3.501953125
Wrong 3.896484375
Wrong 4.140625
Wrong 3.408203125
Wrong 3.701171875
Correct 4.38671875
Wrong 3.884765625
Wrong 3.38671875
Correct 3.921875
Wrong 3.25
Wrong 2.880859375
Wrong 3.798828125
Wrong 1.986328125
Wrong 3.919921875
Wrong 4.47265625
Wrong 3.751953125
Wrong 4.10546875
Wrong 4.03515625
Wrong 4.30859375
Abstained 3.763671875
Wrong 4.80859375
Wrong 4.21875
Wrong 2.859375
Correct 4.11328125
Wrong 3.6640625
Wrong 3.78125
Wrong 3.349609375
Correct 4.43359375
Wrong 4.73828125
Wrong 3.888671875
Wrong 3.28125
Correct 3.8515625
Wrong 3.453125
Correct 3.58203125
Wrong 3.904296875
Wrong 4.55859375
Wrong 4.13671875
Correct 4.30859375
Wrong 3.55078125
Wrong 3.576171875
Wrong 3.9140625
Correct 2.634765625
Correct 3.51953125
Wrong 4.2890625
Wrong 3.12890625
Correct 3.75
Correct 3.51171875
Correct 4.92578125
Wrong 6.72265625
Wrong 4.18359375
Wrong 4.23828125
Wrong 3.7734375
Wrong 4.30859375
Wrong 4.26953125
Wrong 4.34765625
Correct 3.236328125
Correct 3.923828125
Wrong 4.671875
Wrong 3.875
Wrong 4.515625
Wrong 2.408203125
Wrong 3.123046875
Abstained 3.4453125
Abstained 3.048828125
Wrong 3.7265625
Wrong 4.30859375
Correct 3.43359375
Correct 3.42578125
Wrong 4.01953125
Wrong 4.28125
Wrong 3.888671875
Wrong 4.18359375
Wrong 3.46484375
Wrong 3.556640625
Wrong 4.3515625
Correct 4.125
Wrong 3.2421875
Wrong 4.8828125
Wrong 3.494140625
Wrong 3.78125
Wrong 4.3046875
Wrong 4.42578125
Wrong 2.8828125
Wrong 4.0859375
Wrong 3.978515625
Wrong 4.80859375
Wrong 4.3828125
Wrong 4.15625
Wrong 3.63671875
Correct 4.3125
Correct 4.14453125
Wrong 3.568359375
Wrong 3.05859375
Correct 3.8671875
Correct 5.48046875
Wrong 4.87890625
Wrong 3.25
Correct 3.490234375
Wrong 2.50390625
Correct 3.37109375
Wrong 4.55078125
Correct 3.658203125
Abstained 4.6953125
Wrong 4.50390625
Wrong 3.677734375
Correct 4.46484375
Wrong 3.40625
Abstained 3.591796875
Wrong 4.08984375
Correct 2.7109375
Wrong 4.640625
Wrong 4.03125
Wrong 3.947265625
Wrong 3.931640625
Wrong 4.85546875
Wrong 3.814453125
Wrong 4.13671875
Correct 4.1640625
Wrong 3.734375
Wrong 5.16796875
Wrong 4.38671875
Wrong 3.857421875
Correct 2.861328125
Wrong 3.833984375
Wrong 3.404296875
Wrong 5.1640625
Correct 2.97265625
Correct 3.048828125
Correct 4.43359375
Correct 3.7265625
Wrong 3.9453125
Wrong 4.37109375
Correct 4.94140625
Wrong 3.59765625
Wrong 3.021484375
Wrong 4.0078125
Wrong 4.71484375
Correct 4.90625
Wrong 4.47265625
Correct 4.05859375
Wrong 2.986328125
Wrong 3.5390625
Correct 4.4765625
Wrong 2.763671875
Correct 2.77734375
Correct 4.57421875
Wrong 5.60546875
Wrong 3.626953125
Wrong 3.720703125
Wrong 4.18359375
Wrong 3.6328125
Correct 4.29296875
Wrong 4.51171875
Wrong 3.8984375
Wrong 2.681640625
Wrong 3.69140625
Correct 4.58984375
Wrong 3.375
Wrong 3.001953125
Wrong 4.3359375
Wrong 4.31640625
Wrong 3.41796875
Correct 2.333984375
Wrong 4.2578125
Correct 3.150390625
Correct 1.46875
Wrong 3.833984375
Wrong 4.03125
Correct 3.955078125
Correct 4.34375
Wrong 4.90234375
Wrong 3.853515625
Correct 4.23828125
Wrong 2.669921875
Wrong 3.248046875
Correct 4.5
Wrong 3.826171875
Wrong 5.1796875
Wrong 4.5625
Wrong 4.2890625
Wrong 3.080078125
Correct 3.736328125
Wrong 3.958984375
Wrong 4.44140625
Wrong 3.875
Wrong 5.19140625
Wrong 4.09375
Wrong 3.8046875
Wrong 3.51171875
Wrong 4.6015625
Abstained 3.484375
Wrong 3.861328125
Wrong 4.3359375
Correct 4.984375
Wrong 3.302734375
Correct 4.3046875
Wrong 4.484375
Correct 4.3828125
Wrong 3.095703125
Wrong 2.25390625
Wrong 3.53125
Correct 3.603515625
Wrong 4.125
Abstained 3.716796875
Wrong 3.6640625
Wrong 4.05078125
Wrong 4.26171875
Correct 3.513671875
Wrong 3.2890625
Wrong 4.640625
Correct 3.568359375
Wrong 3.541015625
Wrong 4.31640625
Wrong 3.58984375
Wrong 3.564453125
Wrong 4.3671875
Correct 4.203125
Correct 3.982421875
Correct 3.8203125
Wrong 4.32421875
Wrong 3.345703125
Wrong 3.71875
Wrong 4.05859375
Wrong 3.8046875
Wrong 3.556640625
Wrong 3.6171875
Wrong 3.724609375
Wrong 3.8203125
Correct 3.716796875
Correct 3.568359375
Wrong 3.75390625
Wrong 3.40625
Abstained 2.65234375
Wrong 3.169921875
Wrong 3.8046875
Wrong 3.580078125
Correct 4.6796875
Wrong 2.98828125
Abstained 4.21875
Correct 4.31640625
Wrong 4.29296875
Wrong 3.95703125
Wrong 3.876953125
Correct 4.03515625
Correct 2.943359375
Wrong 4.6953125
Wrong 3.095703125
Wrong 3.986328125
Wrong 4.02734375
Wrong 4.13671875
Wrong 4.4375
Wrong 4.21875
Correct 4.4609375
Wrong 2.439453125
Wrong 4.0078125
Wrong 4.1328125
Wrong 4.07421875
Abstained 3.486328125
Wrong 3.412109375
Correct 3.541015625
Wrong 3.84375
Abstained 4.05859375
Correct 4.49609375
Wrong 4.1171875
Wrong 4.64453125
Wrong 4.140625
Wrong 3.064453125
Correct 4.34765625
Wrong 4.2578125
Wrong 3.603515625
Wrong 4.0546875
Wrong 3.779296875
Abstained 3.1484375
Correct 4.19921875
Correct 3.2109375
Wrong 4.9140625
Wrong 3.6015625
Correct 4.38671875
Wrong 4.55078125
Wrong 3.59375
Wrong 3.455078125
Wrong 4.64453125
Correct 4.23828125
Wrong 4.73828125
Correct 3.791015625
Wrong 4.3125
Wrong 4.12109375
Correct 5.26953125
Wrong 4.3828125
Wrong 4.16015625
Wrong 2.775390625
Wrong 2.953125
Wrong 3.203125
Wrong 2.986328125
Wrong 4.0859375
Wrong 3.861328125
Wrong 3.798828125
Correct 5.00390625
Wrong 4.10546875
Wrong 3.52734375
Correct 4.44921875
Wrong 3.24609375
Wrong 3.546875
Wrong 3.849609375
Wrong 1.49609375
Correct 3.646484375
Wrong 4.1640625
Wrong 4.2421875
Wrong 3.427734375
Wrong 3.966796875
Wrong 3.912109375
Wrong 4.73046875
Wrong 4.19921875
Wrong 3.75390625
Wrong 4.62890625
Unparseable 0
Wrong 3.85546875
Wrong 4.0234375
Wrong 3.875
Wrong 5.34765625
Wrong 5.03515625
Wrong 3.76953125
Wrong 3.669921875
Wrong 4.02734375
Wrong 4.97265625
Correct 4.03515625
Abstained 4.4296875
Wrong 3.689453125
Wrong 3.2265625
Correct 3.1171875
Wrong 4.30078125
Correct 4.19140625
Wrong 4.86328125
Wrong 4.6640625
Wrong 4.3671875
Wrong 3.865234375
Wrong 3.40234375
Wrong 3.693359375
Correct 3.953125
Wrong 2.30859375
Wrong 3.138671875
Wrong 4.05078125
Correct 3.921875
Wrong 4.125
Correct 4.4453125
Wrong 3.916015625
Wrong 3.474609375
Wrong 4.01171875
Correct 2.939453125
Wrong 3.865234375
Wrong 4.12890625
Wrong 3.25
Wrong 4.75390625
Wrong 4.4453125
Wrong 3.650390625
Wrong 3.94140625
Wrong 3.6484375
Abstained 3.978515625
Wrong 4.03125
Correct 3.548828125
Wrong 4.390625
Correct 3.4765625
Wrong 3.24609375
Abstained 4.3984375
Wrong 3.904296875
Wrong 3.7578125
Wrong 5.34765625
Correct 4.09375
Correct 3.30078125
Correct 3.53515625
Wrong 3.951171875
Wrong 3.794921875
Wrong 4.36328125
Wrong 3.9296875
Correct 3.548828125
Wrong 4.06640625
Wrong 3.787109375
Wrong 4.05078125
Wrong 4.6171875
Wrong 3.986328125
Wrong 3.814453125
Correct 3.169921875
Abstained 3.154296875
Wrong 3.97265625
Correct 3.8671875
Wrong 4.07421875
Wrong 5.30078125
Wrong 4.4453125
Wrong 4.47265625
Abstained 3.615234375
Wrong 3.876953125
Wrong 3.71484375
Wrong 3.357421875
Correct 4.75390625
Wrong 4.76171875
Wrong 4.13671875
Wrong 3.908203125
Wrong 3.90234375
Wrong 3.591796875
Wrong 4.8359375
Wrong 4.2421875
Correct 3.15625
Wrong 4.61328125
Wrong 3.859375
Correct 4.0703125
Wrong 4.06640625
Correct 3.181640625
Wrong 4.03125
Wrong 4.44140625
Wrong 4.6484375
Unparseable 0
Wrong 2.580078125
Wrong 3.943359375
Wrong 4.03125
Correct 4.2265625
Wrong 3.533203125
Wrong 3.40625
Wrong 4.08984375
Wrong 3.21484375
Correct 3.3671875
Correct 4.01953125
Wrong 2.5859375
Wrong 4.0234375
Wrong 4.0
Wrong 4.23046875
Wrong 4.328125
Wrong 3.857421875
Wrong 3.791015625
Wrong 4.00390625
Correct 4.8984375
Correct 4.76171875
Wrong 3.57421875
Wrong 4.75
Wrong 3.25390625
Wrong 3.54296875
Wrong 4.80859375
Correct 3.2890625
Wrong 3.923828125
Wrong 4.04296875
Wrong 4.1015625
Wrong 4.01171875
Correct 3.451171875
Correct 3.392578125
Wrong 4.046875
Correct 3.9765625
Wrong 4.15625
Wrong 4.67578125
Correct 3.638671875
Wrong 3.58984375
Wrong 2.755859375
Correct 4.05859375
Wrong 4.45703125
Correct 3.298828125
Wrong 3.951171875
Correct 3.8203125
Wrong 4.04296875
Wrong 3.2890625
Wrong 3.498046875
Wrong 5.21484375
Correct 3.830078125
Correct 4.10546875
Wrong 3.693359375
Wrong 3.794921875
Wrong 3.48828125
Wrong 3.607421875
