grade confidence_level
Wrong 20.3125
Correct 21.40625
Wrong 22.65625
Wrong 22.21875
Correct 29.453125
Correct 22.5
Wrong 20.796875
Wrong 24.03125
Correct 22.71875
Correct 20.96875
Wrong 21.796875
Wrong 21.28125
Correct 23.171875
Wrong 23.984375
Wrong 21.0625
Wrong 22.671875
Wrong 20.796875
Correct 22.859375
Wrong 20.921875
Correct 22.28125
Wrong 21.59375
Correct 21.71875
Correct 23.9375
Wrong 22.78125
Correct 21.359375
Correct 22.890625
Wrong 20.953125
Wrong 26.921875
Wrong 20.84375
Wrong 19.578125
Wrong 22.25
Wrong 21.671875
Wrong 23.484375
Wrong 22.5
Wrong 21.9375
Wrong 21.1875
Correct 23.09375
Wrong 21.8125
Wrong 21.40625
Wrong 21.046875
Wrong 23.71875
Wrong 20.8125
Correct 23.46875
Correct 22.71875
Correct 21.578125
Correct 28.53125
Wrong 21.0625
Wrong 22.46875
Wrong 19.65625
Wrong 20.90625
Correct 29.90625
Wrong 29.578125
Correct 25.265625
Wrong 19.546875
Wrong 21.453125
Wrong 20.796875
Wrong 19.78125
Wrong 20.171875
Wrong 24.9375
Correct 27.828125
Wrong 21.015625
Wrong 25.046875
Wrong 24.96875
Wrong 21.09375
Wrong 21.25
Correct 22.1875
Correct 20.890625
Correct 27.984375
Wrong 29.765625
Wrong 21.3125
Wrong 20.90625
Wrong 25.359375
Wrong 26.640625
Correct 21.359375
Wrong 21.0625
Correct 21.875
Wrong 20.84375
Correct 22.171875
Correct 22.375
Correct 21.140625
Correct 21.328125
Wrong 20.9375
Wrong 20.96875
Wrong 20.96875
Wrong 20.78125
Wrong 25.84375
Correct 28.15625
Correct 22.59375
Correct 24.03125
Wrong 21.078125
