grade confidence_level
Correct 34.40625
Correct 29.578125
Wrong 29.546875
Correct 25.71875
Correct 31.78125
Correct 24.65625
Correct 29.34375
Correct 29.609375
Correct 25.6875
Correct 29.09375
Correct 28.4375
Correct 25.578125
Correct 29.859375
Correct 30.671875
Correct 31.578125
Wrong 30.578125
Correct 19.078125
Wrong 27.921875
Correct 22.84375
Correct 32.625
Wrong 27.28125
Correct 30.34375
Correct 31.765625
Wrong 26.140625
Correct 27.15625
Correct 29.6875
Correct 32.625
Correct 32.03125
Correct 31.65625
Correct 26.59375
Correct 31.21875
Correct 32.375
Correct 31.890625
Correct 29.765625
Correct 31.0
Correct 25.59375
Correct 20.140625
Wrong 23.078125
Correct 29.984375
Wrong 29.234375
Correct 30.640625
Wrong 28.859375
Correct 31.84375
Correct 32.09375
Wrong 30.40625
Correct 29.5625
Correct 27.3125
Wrong 28.875
Correct 34.25
Wrong 28.5625
Correct 34.15625
Correct 30.375
Correct 30.90625
Correct 35.6875
Wrong 21.421875
Correct 26.796875
Correct 32.75
Correct 31.5625
Correct 27.078125
Wrong 29.171875
Wrong 25.046875
Correct 29.015625
Wrong 24.28125
Correct 30.265625
Correct 31.109375
Correct 29.53125
Correct 21.953125
Correct 29.515625
Correct 30.828125
Correct 29.9375
Correct 25.203125
Correct 24.75
Correct 33.28125
Correct 31.765625
Wrong 26.484375
Correct 27.640625
Correct 31.515625
Correct 22.390625
Wrong 35.8125
Correct 32.125
Correct 28.953125
Correct 27.4375
Correct 28.953125
Correct 26.203125
Correct 31.53125
Correct 23.609375
Wrong 30.703125
Correct 24.609375
Correct 30.53125
Correct 32.15625
Correct 27.5
Correct 29.234375
Correct 28.171875
Correct 32.5625
Correct 29.453125
Correct 30.15625
Correct 31.625
Correct 28.46875
Correct 31.890625
Wrong 33.34375
Correct 33.34375
Correct 25.484375
Correct 33.21875
Correct 28.53125
Wrong 23.171875
Correct 17.890625
Correct 28.59375
Correct 29.71875
Correct 28.6875
Correct 27.5625
Correct 29.703125
Wrong 29.171875
Correct 33.9375
Wrong 26.84375
Correct 26.875
Correct 30.9375
Correct 33.125
Correct 27.484375
Correct 27.625
Correct 32.875
Correct 31.609375
Correct 31.390625
Correct 27.9375
Correct 29.125
Wrong 31.5625
Correct 33.375
Correct 29.96875
Wrong 30.46875
Correct 32.84375
Wrong 26.4375
Correct 31.125
Correct 32.21875
Correct 26.609375
Correct 31.359375
Correct 33.09375
Correct 28.125
Wrong 30.796875
Wrong 23.96875
Wrong 20.46875
Correct 27.890625
Correct 25.34375
Wrong 28.40625
Wrong 26.859375
Correct 28.078125
Correct 32.25
Correct 25.421875
Correct 31.03125
Correct 28.0625
Correct 31.046875
Correct 25.984375
Wrong 33.875
Correct 31.234375
Correct 33.0
Correct 29.453125
Correct 26.515625
