grade confidence_levels
Wrong 0.001192564843222499,0.002263231435790658
Wrong 0.0015045451000332832,0.0012869728961959481,0.0019930198322981596
Wrong 0.0020698162261396646,0.0017983096186071634,0.0028961291536688805,0.0029417783953249454,0.0026576975360512733,0.0012359149986878037
Wrong 0.0006202930235303938,0.0009607988758943975,0.001659831264987588
Wrong 0.0010477304458618164,0.0012059545842930675,0.0029613454826176167,0.001727410708554089
Wrong 0.00126065278891474,0.0007296116673387587,0.001631370047107339,0.0015445753233507276,0.0013954135356470942,0.00035143562126904726,0.0013419603928923607,0.005307473242282867,0.0011125424643978477,0.0012315436033532023
Correct 0.0012849014019593596,0.0022728429175913334,0.003926804289221764,0.0041802385821938515
Wrong 0.0006360198021866381,0.0003827707841992378,0.0006212742300704122,0.0012259494978934526,0.0005355901666916907,0.00024520160513930023,0.0009039774304255843
Correct 0.001387505093589425,0.0016221828991547227,0.0021156365983188152,0.0029603682924062014,0.002473499858751893
Wrong 0.0012245926773175597,0.000984019017778337,0.0029374989680945873,0.001488697249442339
Correct 0.018799295648932457,0.010628149844706059,0.019094884395599365,0.021136684343218803
Correct 0.004833390470594168,0.0018928417703136802
Correct 0.0008368327980861068,0.0015512529062107205,0.006737925112247467
Wrong 0.0004476768954191357,0.0005275522125884891,0.0008169389329850674,0.001116652856580913,0.0006879997090436518,0.00024529112852178514,0.00023964855063240975
Wrong 0.0003407993935979903,0.0005797370104119182,0.0010829521343111992,0.0011619178112596273,0.0008369263377971947
Wrong 0.0011777906911447644,0.0009030611836351454,0.003861737670376897,0.002235045889392495,0.0018100038869306445,0.0010807793587446213
Wrong 0.0005285828374326229,0.0005851631867699325,0.0008313890430144966
Wrong 0.0005847356515005231,0.000549325835891068,0.0009271028102375567,0.0008641728782095015,0.0010924346279352903,0.000994637724943459
Wrong 0.001673368038609624,0.006990608759224415
Wrong 0.0020788535475730896,0.0019682415295392275,0.0034006836358457804,0.003823577193543315,0.00316987419500947
Wrong 0.0006006653420627117,0.0009981375187635422,0.001893895911052823,0.0015580125618726015
Wrong 0.0016671358607709408,0.0025620434898883104,0.002903086133301258,0.0038761829491704702,0.0033941289875656366
Wrong 0.0016564824618399143,0.0019366705091670156,0.0025455905124545097,0.002752490108832717,0.002429089741781354,0.0007466189563274384,0.001221422920934856,0.001439170795492828
Wrong 0.0005639579612761736,0.0011304195504635572,0.0030965881887823343
Wrong 0.00106683315243572,0.001307126716710627,0.0019167037680745125,0.0023120150435715914,0.00266115739941597,0.0022939913906157017,0.004744015168398619
Wrong 0.0012873423984274268,0.002241807524114847,0.0027681197971105576,0.002600510139018297
Wrong 0.0009591110283508897,0.0020949167665094137,0.00281886151060462,0.0018059045542031527,0.001952656079083681
Wrong 0.0007417368469759822,0.0009674622560851276,0.0013534926110878587,0.001291598891839385,0.0007712846272625029,0.000260352244367823
Wrong 0.00037645705742761493,0.00028087629470974207,0.0009611807181499898,0.0006206546095199883,0.0009244929533451796
Wrong 0.00016853032866492867,0.00014419876970350742,0.00029568385798484087,0.0002757110632956028,0.0003299878735560924
Wrong 0.001637837733142078,0.001757154823280871,0.0025968141853809357,0.0025169679429382086,0.002346088644117117
Wrong 0.0007622329867444932,0.0006077130674384534,0.001189759117551148,0.0014351598219946027,0.0011177476262673736,0.0003657006600406021,0.0008050681208260357,0.0013909998815506697
Wrong 0.002084756502881646,0.0028944704681634903,0.0025146333500742912
Wrong 0.0011947653256356716,0.0010964012471958995,0.004010252188891172,0.0015341053949669003,0.0010793980909511447
Correct 0.0016336690168827772,0.0013650208711624146,0.0029351061675697565,0.004043373744934797,0.002321933163329959
Wrong 0.0017128369072452188,0.002415634924545884
Wrong 0.014744458720088005,0.013851216062903404,0.01938086561858654
Wrong 0.0007637605885975063,0.0008130456553772092,0.0015917326090857387,0.0014721616171300411,0.0015070922672748566
Wrong 0.0009240483632311225,0.001253211870789528,0.0019715032540261745,0.0022340556606650352,0.0018812917405739427,0.0012241356307640672,0.0030298223719000816
Correct 0.0012551670661196113,0.0011339867487549782,0.002595506841316819,0.0016370398225262761
Correct 0.00023406172113027424,0.0001780770835466683,0.0003981048066634685,0.0005192940589040518,0.0009257125202566385
Wrong 0.001741769490763545,0.002827209187671542,0.005578522104769945,0.003573883092030883
Wrong 0.0006347401649691164,0.0008608604548498988,0.0013125670375302434,0.0014990413328632712,0.0008951420895755291,0.0004066144465468824,0.0007136674830690026
Correct 0.0020593672525137663,0.0009502573520876467,0.0013717843685299158,0.0012988231610506773,0.002464753808453679
Wrong 0.001601294381543994,0.0025992724113166332,0.004817830864340067
Wrong 0.0015143444761633873,0.0018554292619228363,0.004381674807518721,0.0036898881662636995
Wrong 0.0007869122782722116,0.0007450454868376255,0.0012476473348215222,0.0017322228522971272,0.0011097326641902328,0.0004414035356603563,0.0021558119915425777
Wrong 0.0011928088497370481,0.000928990775719285,0.0021597440354526043,0.001240297919139266,0.0008659060113132
Wrong 0.0020930340979248285,0.0024470139760524035,0.0032416111789643764,0.004362184088677168,0.002564418828114867
Wrong 0.0009962727781385183,0.0009581392514519393,0.0017212799284607172,0.0017899437807500362,0.0011831173906102777
Wrong 0.002595185535028577,0.0009181551868095994,0.0011881012469530106,0.0010988592403009534,0.0013675532536581159,0.00020971578487660736,0.000440532952779904,0.001225821441039443
Correct 0.0007000129553489387,0.0008378284983336926,0.0014362310757860541,0.00118146906606853,0.001059088041074574
Wrong 0.008250212296843529,0.008990589529275894,0.013602103106677532,0.015056254342198372,0.010844715870916843,0.006130943540483713
Correct 0.0003583175712265074,0.0007238762336783111,0.0015200942289084196
Wrong 0.001803746446967125,0.001996687613427639,0.005822220351547003
Wrong 0.0009600127232261002,0.0006007833871990442,0.001407705363817513,0.0010461611673235893
Wrong 0.0010704024462029338,0.001013489905744791,0.0016707864124327898,0.0013217811938375235
Correct 0.0022465887013822794,0.0010126738343387842,0.0018479391001164913,0.001819347613491118,0.0021945866756141186,0.0012119162129238248
Wrong 0.0018587213708087802,0.0024624220095574856,0.004821058828383684,0.004221564624458551
Correct 0.02309427037835121,0.03181353956460953,0.06527544558048248
Wrong 0.0006904728943482041,0.0010695031378418207,0.0016561748925596476
Correct 0.02126437984406948,0.027951540425419807,0.020449453964829445,0.02390802837908268,0.0189131498336792
Wrong 0.000675904331728816,0.0011589007917791605,0.0010884134098887444,0.000998921925202012
Correct 0.0011771227000281215,0.0012336934451013803,0.0013977556955069304,0.0019256639061495662
Wrong 0.0016990621807053685,0.0015230727149173617,0.0022332691587507725,0.002198755042627454
Wrong 0.0015082830796018243,0.002731367712840438
Wrong 0.001985871698707342,0.0022858171723783016,0.0034849655348807573
Correct 0.002387009793892503,0.0012578882742673159,0.0024435908999294043,0.002295565791428089,0.001679487177170813,0.0009719930239953101,0.0019180357921868563
Wrong 0.0017472523031756282,0.0017472836188971996,0.0021240415517240763,0.0024069277569651604,0.0018027136102318764
Wrong 0.0017760568298399448,0.0022451726254075766,0.0048276809975504875,0.004194464068859816
Wrong 0.0007018273463472724,0.0010786802740767598,0.002566852606832981
Correct 0.0010210537584498525,0.00123164476826787,0.005434014834463596,0.0022476590238511562
Wrong 0.004430802538990974,0.0023168164771050215
Wrong 0.0007556434138678014,0.0010248140897601843,0.00211920915171504,0.0020221977028995752,0.0021526264026761055
Wrong 0.001874146400950849,0.0014482532860711217,0.004566513001918793,0.0030420206021517515,0.001653948100283742,0.0004850860859733075
Wrong 0.0012611191486939788,0.0006910780211910605,0.0007952654850669205,0.0004461429198272526
Correct 0.0013078883057460189,0.0018735621124505997,0.002747052116319537
