grade confidence_levels
Wrong 0.05362012982368469,0.12777383625507355,0.0681915432214737,0.3348904848098755
Correct 0.043455224484205246,0.022511683404445648,0.19602490961551666,0.15981104969978333
Correct 0.14154039323329926,0.1566363275051117,0.09460831433534622,0.09632182121276855
Wrong 0.05320223420858383,0.05213909596204758,0.04690222442150116,0.11237947642803192,0.026374366134405136,0.05404580011963844
Correct 0.38098546862602234,0.0191634651273489,0.029219485819339752
Wrong 0.04794369265437126,0.02070014923810959,0.020497316494584084,0.04600193724036217,0.14233610033988953,0.13317884504795074
Correct 0.08033496141433716,0.007666205987334251,0.019650638103485107,0.08623391389846802
Correct 0.1423458755016327,0.05981476977467537,0.045798204839229584,0.10115301609039307
Wrong 0.030759450048208237,0.012510228902101517,0.015647612512111664,0.07404917478561401,0.032065458595752716,0.00918305292725563,0.005353860091418028,0.07245315611362457
Wrong 0.08041185885667801,0.11276870965957642,0.10617591440677643,0.14748191833496094
Wrong 0.08716791868209839,0.08077289164066315,0.14700600504875183
Wrong 0.07847335934638977,0.1597008854150772,0.2759053111076355
Wrong 0.022776488214731216,0.09550194442272186,0.02763955295085907,0.03094547986984253,0.015821512788534164,0.06458084285259247
Wrong 0.21830229461193085,0.06949564814567566,0.12497276067733765,0.14885886013507843
Wrong 0.07554270327091217,0.09073065966367722,0.07952225208282471,0.17439085245132446
Correct 0.06285786628723145,0.12222372740507126,0.04102610424160957,0.23396000266075134
Wrong 0.03862407058477402,0.025160852819681168,0.048391975462436676,0.1251395046710968,0.15016840398311615
Wrong 0.09617315977811813,0.028581837192177773,0.022766387090086937,0.06564788520336151,0.07293035835027695
Correct 0.04709277302026749,0.0239215437322855,0.027252644300460815,0.2858486473560333,0.08473773300647736
Correct 0.04945603013038635,0.19645282626152039,0.1188892349600792
Correct 0.19295985996723175,0.17370890080928802
Wrong 0.0193426962941885,0.005071394145488739,0.07748983055353165,0.017079424113035202,0.012433420866727829,0.06210242211818695,0.01509791985154152,0.014956732280552387,0.006256107706576586,0.02502311021089554,0.00668373191729188,0.006422883830964565,0.004329919349402189
Wrong 0.05251627415418625,0.07093805074691772,0.03583263233304024,0.10645569115877151,0.10409939289093018
Wrong 0.03406692296266556,0.020572662353515625,0.034069571644067764,0.0852784588932991,0.029102656990289688,0.11203935742378235
Correct 0.2947692275047302,0.17153707146644592
Correct 0.02538098394870758,0.18537688255310059,0.04744105041027069,0.03311403840780258,0.041871748864650726
Correct 0.1044146940112114,0.036837052553892136,0.09706613421440125,0.2080024778842926
Correct 0.13272051513195038,0.10772790014743805,0.16432088613510132
Wrong 0.01737283170223236,0.014638044871389866,0.04816101863980293,0.025413883849978447,0.03307244926691055
Correct 0.1624336838722229,0.131180077791214
Correct 0.035655245184898376,0.0742170438170433,0.01830880157649517,0.031110774725675583,0.056375131011009216,0.07675318419933319
Correct 0.017967315390706062,0.42708122730255127,0.021515220403671265,0.029405592009425163
Correct 0.07623163610696793,0.047152578830718994,0.10280589759349823,0.06517666578292847
Wrong 0.04443947225809097,0.1182224303483963,0.05518269166350365,0.1461126059293747
Wrong 0.08405671268701553,0.074012890458107,0.1610785722732544,0.1411670744419098
Wrong 0.07191930711269379,0.1912645697593689,0.2461405247449875
Correct 0.028207596391439438,0.006024172995239496,0.010214542038738728,0.015466935932636261,0.2954871654510498
Wrong 0.018287457525730133,0.01827070116996765,0.022180667147040367,0.013280149549245834,0.04919368028640747,0.013133304193615913,0.04405294358730316,0.014820650219917297,0.005917815491557121,0.002041572704911232,0.022416312247514725,0.05236756056547165
Correct 0.013543499633669853,0.005555304698646069,0.02307150326669216,0.3313216269016266,0.019295066595077515,0.03670979663729668
Correct 0.12344267964363098,0.1774211972951889,0.07753701508045197
Wrong 0.06672576814889908,0.04661812633275986,0.15366795659065247,0.10032732039690018,0.04936135560274124
Wrong 0.17603495717048645,0.09549374878406525,0.14757263660430908
Wrong 0.0428096242249012,0.015060089528560638,0.015451295301318169,0.03222290053963661,0.02152177505195141,0.042242955416440964,0.04359830170869827
Wrong 0.06820616126060486,0.24160222709178925
Correct 0.02480698749423027,0.2783089876174927,0.041546352207660675,0.08093396574258804
Wrong 0.024338629096746445,0.03508010879158974,0.014418255537748337,0.0391266904771328,0.011084473691880703,0.008692611008882523,0.0058709727600216866,0.014145618304610252,0.010341541841626167
Wrong 0.05082078278064728,0.2407160848379135,0.07763710618019104,0.07487836480140686
Correct 0.04810938984155655,0.21914653480052948,0.062460195273160934,0.12274516373872757
Correct 0.05462254583835602,0.047208271920681,0.041852131485939026,0.060003917664289474,0.039050474762916565,0.036384835839271545,0.05582374706864357
Correct 0.03501228988170624,0.20598594844341278,0.040188778191804886,0.13503433763980865
Correct 0.2876954674720764,0.23850640654563904
Wrong 0.031147245317697525,0.014490878209471703,0.07477949559688568,0.16027024388313293,0.017822053283452988,0.01032869890332222,0.06876005977392197
Wrong 0.07953193783760071,0.06065109744668007,0.054783374071121216,0.12424281239509583
Correct 0.11978296935558319,0.03737378492951393,0.0960582047700882,0.2701564431190491
Wrong 0.14918498694896698,0.1374203860759735,0.061982013285160065,0.08894487470388412
Wrong 0.06306926906108856,0.05570670962333679,0.04663513973355293,0.06686864048242569,0.06866173446178436
Correct 0.020382478833198547,0.1546977162361145,0.02008613757789135,0.05771049112081528,0.04328444227576256
Correct 0.042029108852148056,0.07206298410892487,0.13090986013412476,0.05702441930770874,0.059462666511535645
Wrong 0.01642274670302868,0.29539909958839417,0.04487035423517227
Correct 0.03452305868268013,0.007585850544273853,0.012449171394109726,0.012071928009390831,0.015997758135199547,0.018599674105644226,0.10571396350860596,0.020762724801898003,0.00969119556248188,0.007153595332056284
Wrong 0.1086449921131134,0.03349561244249344,0.021714258939027786,0.11196673661470413,0.03486892953515053,0.05430807173252106
Wrong 0.015104356221854687,0.010292108170688152,0.20433297753334045,0.01930944249033928,0.025885367766022682,0.02168305218219757,0.01985352672636509,0.015466015785932541,0.007700951304286718
Wrong 0.09895370900630951,0.022387268021702766,0.0168015006929636,0.07933516055345535,0.03470991179347038,0.136102557182312
Wrong 0.03921519219875336,0.09969393163919449,0.13761991262435913,0.07153621315956116,0.09534008055925369
Correct 0.04950113967061043,0.043852828443050385,0.02734001725912094,0.0512724295258522,0.025222238153219223,0.06904325634241104
Wrong 0.06525032967329025,0.017718493938446045,0.005967655219137669,0.011775490827858448,0.16108980774879456,0.01795399934053421,0.014236154966056347
Wrong 0.10424087196588516,0.03624377399682999,0.11940170079469681,0.2931220829486847
Wrong 0.1067630723118782,0.1528570055961609,0.1637783944606781
Wrong 0.0673886090517044,0.039585135877132416,0.1360539048910141,0.13768775761127472,0.06795649975538254
Wrong 0.18268351256847382,0.05078651010990143,0.14412818849086761
Wrong 0.03991895169019699,0.016084488481283188,0.023425087332725525,0.03426297381520271,0.014182508923113346,0.014446183107793331,0.01288439892232418,0.016958052292466164,0.008354732766747475,0.008603816851973534
Correct 0.0406586229801178,0.12821099162101746,0.018903082236647606,0.08053350448608398
Wrong 0.07854631543159485,0.05012023448944092,0.08186764270067215,0.16611111164093018
Correct 0.02185969427227974,0.020844360813498497,0.012201542034745216,0.019835900515317917,0.013294881209731102,0.14870278537273407
Wrong 0.0831485316157341,0.09681842476129532,0.1643984019756317,0.15957382321357727
Wrong 0.08363254368305206,0.11328334361314774,0.06642039120197296,0.12526585161685944
Wrong 0.026099793612957,0.053129710257053375,0.08039258420467377,0.020733674988150597,0.023791851475834846,0.027814455330371857,0.09629687666893005,0.04309990257024765,0.01195935346186161
Wrong 0.006227584555745125,0.004225459881126881,0.0023566959425807,0.05831323191523552,0.004261841531842947,0.029415514320135117
Correct 0.0280197411775589,0.03804118186235428,0.016922974959015846,0.2161351591348648,0.0490117073059082
Correct 0.09427300095558167,0.06415680795907974,0.03209097683429718,0.04151063412427902,0.046443067491054535
Wrong 0.07080737501382828,0.08315134048461914,0.09565438330173492,0.18652385473251343
Correct 0.039302557706832886,0.027196377515792847,0.04657120257616043,0.027208099141716957,0.03547009080648422,0.031215840950608253
Wrong 0.05347779393196106,0.017429307103157043,0.02876804955303669,0.22085145115852356,0.019564444199204445,0.007261526305228472,0.010192662477493286
Wrong 0.05250336229801178,0.020412087440490723,0.04101365804672241,0.0622987374663353,0.08620165288448334,0.02059045433998108,0.02191089279949665
Correct 0.2545100748538971,0.09267690777778625
Wrong 0.0989827960729599,0.0113551439717412,0.015796490013599396,0.034462980926036835,0.02236911654472351,0.05400862917304039
Wrong 0.05338740348815918,0.0332745723426342,0.05971849709749222,0.27526503801345825
Wrong 0.07414969801902771,0.05069644749164581,0.20456591248512268,0.13584615290164948
Wrong 0.02420644834637642,0.009242592379450798,0.10385749489068985,0.019289935007691383,0.11339323967695236,0.012268112041056156,0.006880226545035839,0.02843289077281952
Correct 0.025700785219669342,0.014268288388848305,0.021791353821754456,0.1868773102760315,0.06952773034572601,0.06503094732761383
Correct 0.049371249973773956,0.026371117681264877,0.030444569885730743,0.057124510407447815,0.12128692865371704
Wrong 0.02197224833071232,0.011042917147278786,0.018178993836045265,0.023261412978172302,0.020114213228225708,0.05105895176529884,0.17243534326553345
Wrong 0.07093776762485504,0.04248327389359474,0.04807911440730095,0.13768063485622406,0.15348124504089355
