grade confidence_levels
Wrong 23.71875,24.96875,25.90625,22.125
Wrong 27.453125,30.765625,29.21875,28.046875
Correct 23.640625,30.96875,23.09375,21.125
Correct 26.265625,32.59375,27.5625,27.84375,26.109375,26.546875
Correct 30.5625,22.859375,19.0
Wrong 26.859375,23.8125,21.25,22.109375,23.390625,23.703125
Correct 20.109375,18.65625,17.015625,27.125
Correct 30.53125,21.96875,20.015625,17.828125
Correct 22.3125,24.515625,22.984375,23.578125,29.765625,19.703125,20.390625,24.671875
Correct 24.140625,24.5625,23.09375,22.921875
Correct 26.9375,31.84375,26.328125
Correct 24.875,30.609375,24.34375
Wrong 25.875,27.640625,24.109375,27.578125,24.6875,24.78125
Correct 27.03125,26.203125,31.640625,26.359375
Correct 30.21875,26.546875,25.53125,25.078125
Wrong 25.984375,29.140625,26.578125,26.8125
Correct 22.90625,19.40625,29.0625,21.640625,22.390625
Wrong 28.96875,25.296875,19.234375,17.937501907348633,18.953128814697266
Correct 23.265625,22.109375,25.265625,33.25,20.265625
Correct 27.71875,33.96875,22.9375
Correct 33.25,16.4375
Correct 23.5,21.046875,25.15625,19.875,19.015625,29.078125,21.828125,19.234375,21.625,22.453125,20.96875,20.078125,19.390625
Correct 21.96875,30.703125,21.25,22.375,20.5625
Correct 25.65625,26.234375,31.875,24.15625,23.703125,26.625
Correct 30.390625,22.5625
Wrong 23.390625,28.21875,32.03125,23.40625,20.703126907348633
Correct 26.296875,21.25,23.5625,30.734375
Wrong 28.640625,29.609375,27.9375
Wrong 25.28125,22.8125,24.375,22.71875,22.21875
Wrong 31.28125,32.65625
Correct 25.5,24.890625,25.28125,23.28125,24.671875,29.65625
Correct 24.578125,35.21875,24.65625,20.78125
Correct 26.96875,23.234375,32.125,21.3125
Correct 25.28125,30.453125,21.578125,22.640625
Wrong 26.984375,27.421875,31.625,29.515625
Wrong 26.671875,29.53125,30.453125
Correct 28.53125,24.1875,21.4375,21.0625,32.5
Correct 20.984375,22.171875,21.203125,19.203125,22.828125,20.703125,23.3125,22.65625,20.5625,19.734375,29.21875,19.6875
Correct 23.40625,22.984375,24.984375,33.21875,24.703125,24.015625
Correct 29.328125,31.765625,21.09375
Wrong 26.796875,24.4375,28.28125,22.296875,20.359376907348633
Wrong 31.28125,27.15625,30.984375
Correct 23.328125,21.703125,20.671875,20.59375,24.265625,28.078125,26.640625
Wrong 24.34375,34.78125
Correct 22.65625,32.46875,22.46875,20.125
Wrong 24.25,24.90625,23.734375,22.484375,22.828125,23.8125,24.78125,21.390625,24.046875
Correct 23.859375,31.4375,34.59375,22.515625
Correct 22.328125,32.5625,21.6875,20.4375
Correct 25.9375,24.546875,29.3125,30.34375,23.40625,24.8125,23.15625
Correct 27.078125,33.25,26.015625,25.421875
Correct 33.53125,26.25
Correct 23.890625,23.75,28.578125,25.640625,19.671878814697266,19.40625,26.359375
Correct 18.734375,29.890625,17.5,16.359378814697266
Correct 26.390625,27.3125,25.71875,29.734375
Correct 21.4375,35.125,20.5,18.28125
Correct 29.328125,20.703125,18.84375,19.859375,18.000001907348633
Correct 21.375,34.34375,21.421875,19.8125,18.921876907348633
Correct 25.09375,27.65625,31.875,26.984375,26.703125
Wrong 26.234375,28.3125,27.421875
Correct 22.96875,23.078125,21.546875,20.546875,19.734375,20.75,29.78125,21.90625,22.046875,28.296875
Correct 31.59375,21.328125,21.3125,18.734375,18.796875,19.84375
Wrong 23.0625,27.875,33.28125,21.484375,19.921875,18.78125,20.015625,21.109375,21.046875
Correct 33.1875,19.0625,20.171875,17.265625,16.71875,16.046875
Correct 24.953125,29.375,27.359375,24.75,32.875
Wrong 27.984375,27.90625,25.0,25.90625,23.09375,21.9375
Correct 15.109378814697266,20.468753814697266,13.718762397766113,14.937514305114746,12.632854461669922,15.265633583068848,14.828144073486328
Correct 23.578125,24.1875,22.859375,23.046875
Correct 22.9375,32.21875,21.375
Correct 24.625,25.6875,34.0625,24.703125,23.078125
Wrong 27.3125,22.71875,21.484375
Wrong 25.59375,21.984375,22.34375,22.6875,21.375,20.625,19.171876907348633,18.359376907348633,22.046875,23.546875
Correct 29.484375,33.875,24.8125,23.53125
Correct 23.328125,34.0625,22.4375,19.640625
Correct 19.96875,27.453125,19.671875,20.5,19.5,31.171875
Correct 25.78125,31.390625,24.78125,23.109375
Wrong 25.96875,31.390625,24.765625,24.578125
Wrong 24.40625,25.109375,23.546875,23.6875,22.484375,27.265625,27.296875,25.5625,25.859375
Wrong 30.84375,24.703125,23.984375,25.8125,23.000001907348633,30.359375
Correct 21.09375,20.734375,19.828125,28.5,21.875
Correct 33.71875,17.5,19.078125,14.960938453674316,16.03125
Correct 25.515625,25.421875,28.5,24.046875
Correct 27.53125,24.0625,29.09375,24.875,26.109375,24.4375
Wrong 25.828125,25.109375,24.625,27.328125,24.203125,23.109375,23.578125
Correct 27.375,24.609375,26.640625,26.171875,26.578125,24.75,24.140625
Correct 34.0625,19.546875
Correct 27.078125,30.484375,25.4375,20.546875,26.5,22.15625
Correct 29.0625,21.953125,21.21875,19.359375
Wrong 27.4375,34.375,22.671875,22.640625
Correct 21.84375,22.09375,25.03125,21.453125,22.171875,19.53125,19.890625,27.984375
Correct 24.640625,22.453125,24.8125,30.40625,27.375,21.953125
Correct 23.234375,24.015625,22.296875,22.765625,26.484375
Wrong 29.40625,25.15625,25.015625,24.5,24.234375,27.078125,32.8125
Correct 26.609375,24.875,22.71875,31.8125,23.6875
Correct 29.65625,20.53125,22.890625
Wrong 22.953125,28.453125,21.484375,29.46875
Wrong 28.609375,26.65625,25.71875,26.3125,22.609375,27.5,25.4375,26.03125,30.03125
Correct 23.375,28.9375,22.703125,22.265625,19.109376907348633,17.921875,20.296875,19.921875
Wrong 23.5,22.21875,26.5,25.90625,27.984375
Wrong 22.84375,24.359375,27.203125,21.265625,19.671876907348633,24.71875,22.578125,26.109375,22.328125,22.828125,26.859375
Correct 21.1875,20.984375,20.703125,31.65625
Correct 33.15625,28.8125,22.296875
Correct 24.921875,24.4375,23.859375,26.640625,32.53125
Correct 24.546875,23.53125,21.9375,32.78125
Correct 17.859375,18.578125,18.984375,18.453125,34.0,20.890625
Correct 31.0625,20.546875,18.875,17.78125,17.71875,16.15625,16.078126907348633
Correct 30.3125,24.109375,26.40625,21.96875,22.203125
Wrong 27.734375,27.96875,21.625
Correct 18.515625,19.953125,15.6953125,19.15625,15.710939407348633,15.6796875,16.921875,30.875
Correct 23.515625,31.890625
Correct 26.0625,23.421875,22.34375,28.0625,23.6875,21.53125
Correct 23.84375,23.546875,25.953125,24.640625,22.546875,22.9375,21.96875,22.078125,22.25,22.46875,22.28125
Wrong 30.171875,29.359375,24.953125,23.75,26.03125
Correct 19.328125,20.0,19.375,19.03125,16.687501907348633,18.703125,29.21875
Wrong 24.15625,26.921875,30.34375,23.203125,23.75
Wrong 23.0,21.875,21.96875,31.734375,23.75
Wrong 23.640625,25.578125,29.78125,24.84375,23.0,29.03125
Correct 20.890625,19.9375,33.125,18.140625,16.234376907348633,16.59375,17.546875,16.1875,22.984375
Correct 26.53125,24.296875,21.109375,19.796875,21.453126907348633,24.453125,19.656251907348633
Correct 18.34375,29.515625,19.515625,20.125,18.250001907348633,22.40625
Correct 24.671875,21.390625,32.125,18.78125
Correct 25.0,25.265625,27.03125,29.53125,21.328125
Correct 24.734375,24.4375,33.21875,24.015625
Correct 21.0,23.28125,20.578125,35.125,21.078125
Correct 31.140625,18.375,15.671875,16.171875,15.210938453674316,15.0078125,15.07031536102295,18.171875
Wrong 30.171875,28.109375,27.328125,24.9375,30.78125
Wrong 29.296875,27.46875,28.09375,26.875,29.390625
Correct 26.703125,32.78125,26.0
Correct 25.03125,27.96875,27.4375,24.3125,24.484375,25.703125,26.46875
Correct 28.796875,24.453125,29.4375,29.109375,30.984375
Correct 23.203125,22.171875,23.078125,29.890625,20.437501907348633,18.921875,23.953125,18.625
Correct 29.859375,24.875,24.5625,23.859375,24.125,23.34375
Wrong 25.921875,23.59375,24.875,26.109375,22.578125
Correct 23.234375,19.578125,21.921875,27.03125
Correct 31.578125,24.71875,26.46875,22.3125
Correct 20.953125,28.578125,23.578125,20.359375,23.265625,18.09375,23.515625,19.609375,21.3125
Wrong 24.625,27.28125,29.25,21.71875
Wrong 30.546875,28.921875,30.53125,24.125
Correct 31.046875,20.40625,21.546875,18.65625,17.187501907348633,19.234375
Correct 25.359375,24.34375,32.5625,22.53125
Correct 24.34375,25.015625,27.09375,27.453125,24.5,25.046875,25.015625
Correct 25.265625,25.765625,32.75,26.125,25.53125
Correct 24.078125,22.78125,35.5625,21.171875
Correct 27.953125,26.25,21.390625,21.765625,19.500001907348633
Correct 29.671875,20.375,18.0,24.84375,18.796875,20.34375,18.234375,16.890626907348633,19.984375,16.640626907348633
Correct 23.53125,22.015625,22.796875,30.0625,21.953125
Correct 24.359375,32.3125,21.015625,19.125,19.250001907348633
Correct 21.515625,22.453125,21.75,21.234375,34.53125,23.3125
Correct 18.3125,19.265625,19.09375,16.828125,16.421876907348633,28.875,17.859376907348633,15.64062786102295,18.421875,15.171878814697266
Correct 24.140625,23.828125,35.09375,20.1875
Correct 23.15625,30.859375,21.5,21.21875,21.359375,21.8125,21.0,20.890625
Wrong 30.0625,24.140625,29.921875,25.71875
Wrong 24.359375,23.515625,22.09375,32.46875,22.75,19.859375
Correct 22.828125,21.203125,30.171875,20.625,22.109375,18.359375
Wrong 26.75,24.953125,26.4375,24.21875,22.625,21.40625,28.1875
Correct 26.125,33.53125,27.046875
Wrong 23.171875,24.046875,22.5625,25.15625,22.84375,20.625,22.109375,23.65625
Correct 19.15625,17.421876907348633,28.484375,17.156251907348633,16.96875762939453
Correct 22.71875,18.4375,21.6875,26.953125
Wrong 24.640625,25.375,24.734375,22.296875
Correct 31.203125,19.515625,20.3125,18.078125
Correct 23.546875,33.65625,22.765625,20.625,20.125,20.875,20.390625
Wrong 25.453125,31.828125,23.03125,30.609375,21.75
Correct 27.765625,26.921875,24.40625,33.1875,27.703125
Correct 32.03125,20.6875
Correct 23.0,22.640625,20.34375,33.625,19.765625,19.328125
Correct 23.265625,20.484375,20.875,22.6875,20.484376907348633,18.78125
Correct 20.5,20.234375,20.21875,19.65625,19.703125,21.375,31.46875
Wrong 29.5,28.875,26.703125,25.109375
Correct 21.890625,29.09375,31.5625,27.1875,22.546875,20.96875
Correct 24.328125,21.625,35.0625,19.4375
Correct 28.96875,20.46875,19.609375,21.890625,20.34375
Correct 24.03125,25.546875,25.015625,24.71875,31.984375
Correct 32.03125,19.3125,20.890625,19.546875
Correct 26.3125,27.96875,26.796875
Correct 22.875,30.875,22.515625,24.703125,20.250001907348633
Correct 21.703125,30.8125,23.0625,20.1875,19.9375
Wrong 30.859375,30.34375,26.59375,27.65625
Correct 25.046875,22.25,32.1875,20.59375
Correct 24.625,23.4375,21.46875,30.03125,24.0
Correct 28.25,30.796875,31.609375,21.65625,20.359376907348633,20.828125,20.187501907348633,22.421875
Correct 20.203125,19.5625,18.9375,33.6875,19.40625,17.609375
Wrong 31.078125,31.046875,27.59375,26.875
Correct 27.234375,26.609375,32.8125
Correct 29.46875,26.0625,33.3125,23.109375,22.515625
Wrong 30.5625,30.09375,31.484375
Wrong 25.1875,27.453125,19.953125,18.8125,19.203126907348633
Correct 29.734375,19.703125
Correct 23.53125,24.90625,22.578125,28.578125,23.71875
Correct 34.09375,20.265625,19.359375,17.65625
Correct 25.8125,28.78125,30.828125,24.578125
Correct 22.921875,25.359375,36.125
Correct 29.53125,23.5625,34.46875,22.546875
Correct 23.21875,23.28125,20.609375,28.921875
Wrong 25.28125,29.28125,27.8125,26.40625,30.359375
Correct 26.578125,27.546875,31.171875,23.421875,20.578126907348633,22.5,24.34375
Correct 19.71875,23.53125,20.03125,22.140625,19.328126907348633,26.4375,20.890625
Correct 24.703125,23.9375,33.09375,22.078125
Correct 28.953125,21.796875,21.640625,20.8125
Correct 21.34375,22.546875,32.03125,20.203125,20.296875,21.078125,18.96875
Correct 27.671875,31.53125,25.96875,22.65625,25.515625,23.640625
Correct 23.703125,22.546875,33.125
Correct 25.171875,23.859375,22.875,22.125,21.421875,21.0,29.90625
Correct 21.875,22.109375,21.703125,19.59375,20.421875,31.96875
Correct 27.921875,27.640625,30.09375,27.546875
Correct 27.109375,24.921875,24.0,23.515625,22.15625,28.328125
Correct 25.359375,24.15625,22.375,26.40625,32.8125
Correct 27.390625,27.6875,25.890625,33.625,23.875
Correct 23.859375,29.28125,24.078125,20.46875,20.656251907348633
Correct 23.53125,33.53125,22.234375,20.625
Correct 22.375,20.734375,21.1875,19.578125,30.765625
Correct 21.65625,21.28125,21.109375,20.328125,21.875,29.734375
Wrong 21.640625,23.796875,21.53125,31.734375,20.53125
Correct 19.203125,22.828125,19.8125,18.531251907348633,26.796875
Correct 23.703125,24.421875,21.671875,29.9375
Correct 19.515625,31.0,19.5625,17.75,16.546876907348633
Correct 22.015625,22.171875,22.46875,18.5,18.203125,19.5,30.015625,19.234375,19.84375
Wrong 24.53125,26.03125,20.0625,24.421875,22.4375,19.859375,25.0
Wrong 29.6875,25.75,26.4375,30.765625,24.046875
Correct 24.0,25.578125,34.28125
Correct 21.171875,33.0,21.5625,26.65625,20.0625,19.5625,20.625
Correct 27.265625,29.765625,21.359375
Correct 31.71875,19.1875
Correct 26.3125,27.390625,23.53125,24.796875
Correct 22.78125,21.765625,24.109375,21.125,23.03125,26.953125,23.640625
Correct 25.09375,23.953125,22.796875,23.03125
Correct 27.984375,23.578125,24.390625,25.109375,21.781251907348633
Wrong 27.578125,27.953125,27.78125,27.484375,27.90625
Correct 31.859375,22.8125,18.8125,18.0
Correct 31.40625,21.28125,21.140625,17.734375,19.453125
Correct 27.4375,25.015625
Correct 30.15625,31.8125,25.484375
Correct 25.203125,32.9375,22.1875
Correct 22.0625,21.203125,33.96875
Wrong 26.109375,28.171875,25.296875,26.859375
Correct 33.375,19.28125,17.53125,16.390625,16.843751907348633,17.296875,17.96875,16.125
Correct 26.234375,25.78125,22.40625,33.53125,22.84375,22.171875
Correct 26.765625,23.8125,25.515625,22.96875,24.125,25.359375
Correct 24.15625,24.3125,24.3125,23.15625,31.046875
Correct 30.046875,20.96875,22.515625,19.078125
Wrong 26.953125,32.15625
Wrong 21.734375,19.5625,21.15625,19.8125,19.125001907348633,20.15625,29.625,20.8125,33.875
