grade confidence_levels
Wrong 8.65227491431142e-07,0.9721037745475769
Wrong 7.863813766828542e-13,1.0633845149918275e-12,0.9999844431877136
Correct 7.574896265793996e-11,0.9999022483825684,3.1672884315270267e-09,1.593347502548692e-11,4.242670938962162e-13,3.0680395290277884e-12
Wrong 4.705078993083589e-07,9.868633242149372e-06,9.053551508486635e-08
Wrong 1.4720032970316765e-09,0.025658223778009415,0.9684303998947144,1.7188350511787576e-06
Correct 4.9915373917519545e-11,1.0193011365511317e-11,1.9489715397114082e-11,2.2342530603403077e-11,1.280678948306635e-11,2.3250597627755276e-11,8.298475795420757e-11,0.0008610935183241963,0.9980485439300537,6.4029292978773356e-09
Correct 1.8999432235822233e-11,2.839703992785214e-11,5.746435149944773e-08,0.9999409317970276
Wrong 1.3983537883177632e-07,0.131679505109787,1.0272199233440915e-06,4.034786229567544e-07,0.17656439542770386,2.998659147124272e-05,3.329950413899496e-05
Correct 2.762704787162562e-10,6.464168089692635e-11,3.9122158290716413e-10,0.9999495148658752,4.262270522303879e-06
Correct 0.00020286549988668412,1.1053825632600933e-09,5.945118619621326e-09,0.9960699677467346
Correct 2.4104091118914983e-12,2.5231436406349117e-13,1.7774731339570415e-12,0.9999701976776123
Wrong 0.008590783923864365,0.9372803568840027
Correct 4.6095516154309735e-05,4.225576333283243e-09,0.9989854693412781
Wrong 5.242728560311827e-12,1.126604278617327e-11,1.3825679316681327e-11,0.9999058842658997,5.478236787814783e-12,8.456871314344028e-11,3.495072178338887e-07
Wrong 0.3964095413684845,8.590207289671525e-05,0.438953697681427,0.07320994883775711,4.525573515934411e-08
Wrong 5.812107461977689e-10,1.5822732013504037e-10,5.621036507363897e-07,0.9958164095878601,1.3708631452225006e-10,0.002978021977469325
Wrong 0.9716653823852539,1.0910235381800248e-08,0.00013464335643220693
Correct 0.00016894139116629958,0.997635006904602,1.6578942385603312e-10,1.6632709098907128e-10,2.6943280939661918e-11,2.803645093862883e-09
Wrong 4.9587075778845247e-08,0.9941519498825073
Wrong 5.518244888813584e-11,1.4519756230679803e-10,0.999898374080658,7.61924467962416e-10,2.455059809960969e-12
Correct 0.9834491014480591,2.4976307688717725e-09,0.016366776078939438,9.5234709007741e-10
Correct 0.9999299049377441,1.4767489531566924e-12,8.560994795014931e-13,1.489274524014983e-12,2.620596610807685e-13
Correct 2.056922476312631e-13,1.4501429028944413e-13,2.485365700136827e-13,1.925796897167889e-13,3.2071399572522474e-13,0.9999969601631165,2.0503545150769853e-13,1.795959621254603e-13
Correct 0.9995942711830139,3.945409970951275e-12,1.3813296209988501e-12
Correct 0.9966034293174744,1.1444585557018883e-10,3.5621360028326166e-11,3.755020946960563e-11,2.937205687003619e-11,3.398887768457648e-11,3.422487987458922e-11
Wrong 0.999600887298584,5.159866024034843e-12,4.267742843150346e-12,3.7974283439989875e-11
Wrong 8.961348373429101e-13,4.0027296798264556e-13,0.999987781047821,3.3710931181957227e-12,2.5855600755027297e-13
Correct 2.728320173950305e-12,2.7156484526391633e-12,1.230631951898431e-08,0.999550461769104,2.109011749962253e-12,7.82612082778078e-12
Correct 3.096833622873163e-10,2.7342128561258505e-10,0.0006174694863148034,1.9710469132405706e-06,0.995281457901001
Correct 0.5247825384140015,0.00134902517311275,5.276459660308319e-07,0.00043767335591837764,2.0028863012555576e-09
Correct 1.6037440472849163e-12,6.703241477515332e-13,1.2506651530380664e-12,0.9999099969863892,8.5041625434365e-13
Wrong 0.07276144623756409,1.634672841532847e-09,0.8920730352401733,3.1267373401533405e-07,3.627344813406097e-10,1.028886531528883e-09,8.726361855337927e-10,1.9475851331662852e-06
Correct 0.9339171051979065,1.7862971546378503e-08,4.7399858260632755e-08
Correct 1.06869279051236e-11,2.5607734249061265e-12,8.102542942145519e-12,1.7834221946455564e-11,0.9999901056289673
Correct 9.181507110156417e-09,0.010120573453605175,1.4423538807761815e-08,0.9850629568099976,6.244112449316219e-10
Correct 0.9981633424758911,4.440194045773893e-11
Correct 0.99455726146698,1.0673465666855009e-08,3.15746007117923e-09
Correct 6.394125229292058e-10,2.0524760710460832e-11,7.809952684567634e-11,1.93971838591267e-09,0.9948627352714539
Correct 6.529970574681299e-12,5.442171453068356e-12,4.959087394201811e-12,5.414270160680745e-12,4.0439266518754735e-12,0.9999434351921082,5.8979761519140084e-08
Wrong 2.0388532528947678e-10,4.1824231578058146e-11,6.159939225369726e-11,0.9994516372680664
Wrong 3.965225481294965e-09,0.008434771560132504,2.4452473379454887e-09,0.947857677936554,3.161578499000228e-10
Correct 0.946848452091217,1.1217234918703411e-09,1.8902563958533847e-09,3.9922065298014786e-07
Wrong 1.2241390834333288e-07,0.9464511275291443,2.0804009182029404e-05,3.158764059207897e-07,1.9662633743422475e-09,9.319411020669577e-09,0.0005815711338073015
Correct 1.0793323212965333e-07,2.9406041490709356e-10,6.369337643263862e-05,3.917461435776204e-05,0.9994809627532959
Correct 0.993575930595398,3.0274996398738097e-10,8.53755238949816e-07
Correct 0.9992751479148865,1.6306238043856114e-12,1.1975713389705822e-12,8.766403575277693e-11
Correct 3.186718111614084e-10,0.9998688697814941,6.531658547359598e-11,6.383912287688531e-10,2.9675903661513514e-12,1.1149924733500072e-10,3.1523728072357926e-11
Correct 0.9670379757881165,1.4926050395658308e-09,0.02576495334506035,1.5827543720092763e-09,1.4232096057220645e-10
Wrong 5.041516981663108e-09,0.0011085214791819453,0.9852815270423889,0.003345186822116375,2.0999954553069244e-10
Correct 6.772195604298759e-08,0.6854106187820435,3.421548910864658e-07,0.2768709361553192,1.5644591178087808e-09
Wrong 3.5267191944576837e-10,3.4309260987797074e-10,3.361162181914068e-10,3.673566728590316e-10,3.2791480641947146e-10,0.00016279635019600391,0.9877822399139404,5.149098925016915e-10
Correct 6.200368452176364e-13,3.046977546574542e-13,0.9999741315841675,1.350957106599493e-11,9.317851666027638e-14
Wrong 2.0725014759914728e-10,0.9998927712440491,1.8972345916523636e-09,4.760883598464716e-07,4.8661651097514635e-11,3.4811040677595884e-05
Correct 3.7679269426771356e-12,4.746191504048647e-13,0.9998382329940796
Correct 5.546142434198487e-10,0.9999028444290161,5.9160636389776755e-09
Correct 1.4693706695823039e-08,2.427903988966307e-10,8.544110419173023e-10,0.9924454092979431
Wrong 4.153394642103514e-11,3.457863840594655e-06,0.9982587695121765,7.676197128603235e-06
Wrong 3.911748529261683e-12,1.3638697376333608e-12,1.746554290082969e-12,1.7251584275707055e-12,2.600599206467602e-12,0.9999229907989502
Wrong 4.642501660878651e-12,1.7443701648064969e-12,0.9997256994247437,4.542520179451337e-11
Correct 1.5478805737156875e-10,2.3711511920598838e-11,0.9996949434280396
Wrong 1.815158960638552e-11,1.5155147969903027e-11,0.9998167157173157
Correct 1.355886496412495e-07,0.9948674440383911,5.0781259197663076e-09,2.21804810962567e-07,3.0447561139013146e-11
Wrong 2.4357844630173986e-09,0.9992498159408569,9.194489614117174e-11,1.3352795258381178e-10
Wrong 1.4510429302561079e-08,0.9982166290283203,1.7199544011248236e-09,4.159762811983825e-10
Wrong 0.00014527281746268272,0.2719970941543579,1.50128357745416e-06,0.4034883975982666
Correct 0.9993876218795776,8.670354018081028e-11
Correct 6.042745415157924e-09,0.9973995089530945,2.7148658432452066e-07
Correct 1.8348669250656258e-09,8.940122531164718e-10,0.9899420738220215,1.4360212574615616e-08,7.402307100612404e-10,0.0007636162918061018,0.0003778975224122405
Wrong 5.929312596464342e-11,1.187334146379726e-05,0.9999318718910217,1.604614496830692e-10,3.4956234955252352e-12
Correct 1.016821626897979e-10,1.3365232254258785e-09,2.8386948347502994e-10,0.9993181228637695
Wrong 6.518210415862313e-10,4.9401940871440786e-11,0.9965711832046509
Correct 1.2461541347430494e-11,8.136132826491727e-13,0.9999766945838928,5.760000549442923e-12
Correct 2.1943032460502998e-11,0.9999852776527405
Wrong 4.852630013374437e-07,0.00038160066469572484,1.4584196605937905e-06,0.6373633146286011,1.4559797136826091e-06
Wrong 5.1810344209313186e-11,6.644779865228045e-11,0.9998124241828918,2.2705464175487577e-09,4.011896717615038e-12,6.665065166444606e-10
Wrong 1.2895864376361033e-09,0.9977564811706543,8.398681750065862e-09,8.33644371596165e-05
Correct 5.193816730864054e-12,8.118448274752055e-11,0.9999915361404419
Correct 0.9999455213546753,4.724984726395265e-12,2.540248610419238e-12,5.33289124665659e-12,3.831252264226148e-13,9.042952476244481e-13
Correct 1.463778100466162e-12,1.1508401653523292e-12,1.3030750523751466e-12,3.288034558165953e-12,1.2179404620255019e-12,0.9988105297088623
Wrong 1.5791430385547756e-08,8.578704413508831e-10,0.8361448645591736,0.14312812685966492
Correct 6.110625243652135e-13,2.4786709143520547e-12,0.9999977350234985,2.7677329872410894e-10
Wrong 0.9990975856781006,2.1444662712255536e-10
Correct 1.6090500459808865e-11,5.3042357832377984e-12,9.036439131693275e-12,4.612790704960901e-11,3.964019217039816e-12,4.110982387839357e-11,0.9994705319404602
Correct 8.843354937226877e-10,0.9973750710487366,8.8414353616173e-10,0.0023589127231389284
Correct 6.226343746140728e-11,0.999207615852356,1.1456075671434363e-11,2.911210508771411e-11,6.906864837008531e-12,2.9827208436472574e-07
Wrong 1.3617509897478897e-10,0.0018660967471078038,0.997899055480957,4.498295069765845e-10
Correct 2.2561506482499105e-11,1.1705422872307358e-12,5.986561073256791e-12,1.405447704883045e-07,0.9999746680259705
Wrong 4.848983194138956e-12,9.206113519080739e-13,7.963496181928598e-12,0.9999210238456726,5.358113041795121e-13,2.197415860383245e-12
Wrong 0.35269269347190857,6.016130669195263e-07,0.0002996426192112267,2.53257076110458e-06
Correct 0.99985271692276,6.768512399862869e-12,1.0002211732473842e-11
Correct 0.9993066787719727,1.3088424441476398e-11,1.860555806643127e-11,6.267072971688492e-11,2.5806853182208656e-11
