grade confidence_level
Correct 17.90625
Wrong 15.5703125
Wrong 17.96875
Wrong 16.03125
Wrong 16.421875
Wrong 15.9609375
Wrong 15.75
Wrong 17.5625
Correct 17.6875
Wrong 16.5625
Correct 16.328125
Wrong 18.53125
Wrong 16.125
Wrong 16.5625
Wrong 18.078125
Correct 18.328125
Wrong 16.015625
Wrong 15.8125
Correct 16.453125
Wrong 15.453125
Wrong 16.3125
Correct 16.40625
Wrong 17.953125
Wrong 15.9296875
Wrong 18.0625
Correct 16.203125
Wrong 15.5546875
Correct 17.9375
Wrong 15.4765625
Wrong 15.4375
Correct 15.25
Wrong 15.7734375
Correct 15.7578125
Wrong 16.0
Wrong 15.4921875
Correct 15.6484375
Correct 16.078125
Wrong 16.90625
Correct 18.4375
Wrong 14.4609375
Wrong 16.4375
Correct 15.59375
Correct 18.140625
Correct 15.9453125
Correct 16.03125
Correct 15.6640625
Correct 15.8359375
Wrong 16.921875
Correct 17.796875
Wrong 14.8125
Wrong 18.21875
Wrong 15.9296875
Wrong 19.03125
Wrong 15.75
Wrong 15.5234375
Correct 15.890625
Wrong 16.390625
Correct 17.515625
Wrong 15.9375
Correct 16.359375
Wrong 15.9140625
Correct 18.234375
Wrong 16.171875
Wrong 15.6875
Correct 15.9921875
Wrong 15.9609375
Wrong 16.984375
Correct 14.6171875
Wrong 15.5390625
Correct 16.671875
Correct 15.4375
Wrong 18.796875
Wrong 18.15625
Wrong 13.9140625
Correct 15.9375
Wrong 16.5625
Correct 17.71875
Correct 16.015625
Wrong 14.421875
Wrong 16.46875
Correct 15.7890625
Correct 17.203125
Correct 15.6328125
Wrong 18.5625
Wrong 15.859375
Correct 19.015625
Wrong 16.03125
Wrong 15.6796875
Wrong 16.25
Wrong 15.59375
Correct 15.3984375
Wrong 16.0625
Wrong 14.5703125
Correct 18.609375
Correct 18.859375
Correct 18.875
Wrong 16.5
Wrong 15.8046875
Correct 16.515625
Correct 18.40625
Wrong 15.984375
