grade confidence_level
Wrong 3.443359375
Wrong 3.431640625
Wrong 3.1328125
Wrong 3.546875
Wrong 3.50390625
Wrong 4.33984375
Correct 2.6875
Correct 4.55859375
Wrong 3.384765625
Wrong 3.5234375
Wrong 2.7578125
Wrong 3.97265625
Wrong 3.171875
Wrong 4.00390625
Wrong 3.1484375
Correct 4.59375
Wrong 3.802734375
Wrong 3.248046875
Wrong 2.80859375
Wrong 3.416015625
Wrong 3.984375
Wrong 3.064453125
Wrong 3.373046875
Wrong 3.60546875
Wrong 3.736328125
Wrong 4.3984375
Correct 2.875
Correct 3.9296875
Wrong 3.203125
Wrong 4.0390625
Wrong 4.46484375
Wrong 3.84765625
Wrong 3.51953125
Wrong 3.712890625
Correct 3.3515625
Wrong 3.71875
Wrong 3.515625
Correct 2.837890625
Wrong 3.359375
Wrong 2.87109375
Wrong 3.5625
Correct 3.1015625
Correct 3.404296875
Wrong 2.720703125
Wrong 3.619140625
Correct 3.328125
Wrong 3.00390625
Wrong 3.21484375
Wrong 3.119140625
Wrong 3.69921875
Wrong 2.84375
Wrong 3.01171875
Wrong 3.62109375
Wrong 3.498046875
Wrong 3.8984375
Correct 3.82421875
Wrong 3.380859375
Correct 2.33984375
Wrong 3.408203125
Wrong 3.4609375
Wrong 3.05859375
Wrong 3.8984375
Correct 3.6796875
Correct 3.2734375
Wrong 3.15234375
Wrong 3.994140625
Wrong 3.728515625
Wrong 3.09765625
Wrong 3.40234375
Wrong 3.369140625
Correct 3.94921875
Wrong 3.298828125
Wrong 3.09765625
Correct 2.12890625
Wrong 3.03125
Correct 3.517578125
Correct 3.115234375
Wrong 3.451171875
Wrong 4.12109375
Correct 2.3046875
Wrong 3.638671875
Wrong 3.79296875
Wrong 3.2265625
Wrong 3.369140625
Wrong 4.25
Correct 4.234375
Wrong 3.935546875
Wrong 4.3046875
Wrong 2.939453125
Correct 2.609375
Wrong 4.18359375
Correct 3.455078125
Wrong 3.046875
Correct 4.5625
Wrong 3.8125
Wrong 3.93359375
Wrong 3.578125
Correct 4.6796875
Wrong 3.7421875
Wrong 3.2578125
Wrong 3.66015625
Correct 3.267578125
Wrong 3.69140625
Wrong 3.416015625
Correct 3.3828125
Correct 3.166015625
Correct 3.0625
Wrong 3.974609375
Wrong 2.328125
Correct 2.693359375
Wrong 3.7265625
Wrong 3.1015625
Correct 2.740234375
Wrong 3.595703125
Wrong 4.28125
Wrong 4.18359375
Wrong 3.1640625
Wrong 3.46875
Wrong 3.10546875
Wrong 3.380859375
Wrong 3.67578125
