grade confidence_level
Abstained 37.75
Correct 40.28125
Wrong 40.1875
Wrong 41.0625
Correct 27.234375
Wrong 35.625
Correct 36.28125
Correct 45.75
Abstained 32.84375
Correct 41.78125
Correct 40.0
Wrong 35.71875
Wrong 33.625
Abstained 36.34375
Abstained 33.34375
Wrong 41.9375
Wrong 41.4375
Correct 38.3125
Correct 41.96875
Correct 39.65625
Correct 41.4375
Correct 43.625
Correct 43.6875
Correct 38.1875
Correct 45.6875
Correct 40.4375
Correct 35.40625
Correct 33.28125
Correct 36.6875
Correct 36.25
Correct 31.359375
Correct 42.03125
Correct 39.03125
Correct 29.453125
Correct 41.625
Correct 42.28125
Correct 44.59375
Abstained 44.625
Wrong 24.046875
Wrong 30.765625
Correct 33.46875
Wrong 27.390625
Abstained 43.15625
Correct 34.125
Correct 37.90625
Correct 38.34375
Correct 47.875
Abstained 41.8125
Correct 35.9375
Correct 40.0625
Abstained 39.03125
Wrong 35.71875
Wrong 43.4375
Correct 34.78125
Correct 35.21875
Correct 40.3125
Correct 36.1875
Correct 43.34375
Correct 40.09375
Correct 33.1875
Correct 30.40625
Wrong 39.25
Correct 34.71875
Correct 35.5625
Correct 42.34375
Correct 35.53125
Wrong 44.625
Abstained 42.5
Correct 40.03125
Correct 36.5625
Correct 26.59375
Correct 37.3125
Abstained 30.71875
Correct 33.03125
Correct 27.796875
Wrong 38.6875
Correct 38.4375
Correct 44.375
Correct 31.453125
Wrong 41.15625
Correct 40.28125
Correct 36.28125
Correct 38.96875
Wrong 40.15625
Correct 35.15625
Correct 43.9375
Correct 34.53125
Correct 33.4375
Wrong 47.25
Correct 33.90625
Correct 37.5625
Wrong 24.84375
Wrong 33.625
Abstained 38.5
Correct 42.8125
Correct 45.40625
Wrong 39.1875
Correct 39.0625
Correct 42.15625
Correct 41.46875
Correct 34.46875
Wrong 39.84375
Wrong 43.375
Wrong 46.46875
Correct 35.71875
Correct 38.03125
Correct 39.8125
Correct 44.75
Correct 44.71875
Abstained 42.25
Correct 31.640625
Wrong 38.9375
Correct 44.5
