grade confidence_level
Correct 33.5
Wrong 32.90625
Correct 42.375
Wrong 37.78125
Wrong 33.90625
Correct 41.28125
Correct 37.125
Wrong 42.09375
Wrong 39.0625
Correct 42.375
Correct 30.46875
Wrong 38.5625
Correct 47.28125
Correct 38.15625
Correct 40.3125
Correct 45.53125
Wrong 40.6875
Wrong 37.15625
Correct 36.28125
Wrong 29.53125
Correct 40.59375
Correct 43.25
Correct 37.53125
Correct 40.40625
Correct 44.78125
Wrong 33.96875
Correct 40.59375
Correct 37.625
Wrong 40.78125
Wrong 35.125
Wrong 37.96875
Wrong 44.15625
Correct 38.5625
Correct 41.125
Wrong 37.28125
Wrong 41.6875
Wrong 48.0
Correct 39.125
Correct 33.03125
Correct 42.25
Correct 42.21875
Correct 38.4375
Correct 41.9375
Correct 37.96875
Correct 38.5
Correct 41.34375
Wrong 39.25
Correct 49.8125
Wrong 33.90625
Correct 40.6875
Correct 43.34375
Correct 40.0
Correct 41.15625
Correct 38.8125
Wrong 30.453125
Correct 37.15625
Correct 41.6875
Wrong 26.8125
Correct 38.625
Abstained 34.15625
Wrong 33.21875
Correct 36.4375
Wrong 28.796875
Correct 47.78125
Correct 44.6875
Wrong 36.4375
Correct 43.0
Correct 46.4375
Correct 39.875
Correct 37.53125
Wrong 28.15625
Wrong 39.53125
Correct 37.0
Correct 39.59375
Correct 49.9375
Wrong 38.375
Abstained 43.59375
Correct 40.6875
Wrong 42.90625
Correct 45.09375
Wrong 44.40625
Correct 42.09375
Wrong 31.015625
Correct 34.125
Abstained 28.625
Wrong 38.78125
Correct 38.09375
Correct 43.25
Abstained 32.21875
Wrong 43.40625
Wrong 33.0
Wrong 26.046875
Correct 48.125
Correct 34.875
Wrong 39.375
Correct 42.4375
Correct 48.375
Wrong 42.125
Correct 38.75
Wrong 41.59375
Correct 42.75
Wrong 36.3125
Correct 40.875
Wrong 38.375
Wrong 43.8125
Correct 39.9375
Wrong 37.625
Wrong 32.15625
Wrong 39.53125
Wrong 46.96875
Wrong 33.40625
Correct 46.0
Wrong 40.625
Correct 30.6875
Correct 42.65625
Correct 30.171875
Correct 38.8125
Wrong 39.21875
Correct 42.53125
Correct 48.53125
Correct 42.21875
Correct 31.4375
Wrong 37.875
Correct 45.375
Correct 37.34375
Correct 40.875
