grade confidence_level
Wrong 24.859375
Wrong 25.90625
Correct 22.109375
Wrong 32.96875
Correct 28.671875
Correct 28.921875
Correct 32.40625
Wrong 22.15625
Correct 28.8125
Correct 34.0
Wrong 25.09375
Wrong 24.671875
Wrong 30.09375
Correct 31.984375
Correct 31.71875
Correct 29.84375
Wrong 34.53125
Correct 20.390625
Wrong 30.078125
Correct 26.515625
Correct 25.15625
Correct 31.28125
Correct 31.296875
Correct 29.125
Correct 33.65625
Wrong 24.390625
Correct 35.59375
Correct 24.0
Correct 30.84375
Correct 33.09375
Correct 27.71875
Wrong 27.34375
Correct 29.859375
Correct 28.296875
Wrong 22.96875
Correct 23.703125
Wrong 27.6875
Correct 27.40625
Correct 25.296875
Wrong 21.203125
Wrong 27.515625
Correct 35.71875
Correct 31.234375
Wrong 34.90625
Correct 29.328125
Correct 33.40625
Correct 25.796875
Correct 32.125
Wrong 21.84375
Correct 34.375
Correct 32.65625
Correct 26.265625
Correct 29.921875
Correct 27.96875
Wrong 25.6875
Wrong 22.515625
Correct 32.6875
Wrong 30.671875
Correct 26.4375
Correct 28.5625
Wrong 26.390625
Wrong 30.03125
Wrong 29.5625
Correct 27.78125
Correct 30.375
Wrong 27.8125
Correct 29.890625
Wrong 29.15625
Correct 31.34375
Correct 36.78125
Wrong 22.03125
Correct 28.5625
Correct 24.109375
Correct 30.140625
Wrong 25.46875
Wrong 25.546875
Wrong 29.15625
Wrong 23.421875
Wrong 27.359375
Correct 34.09375
Correct 19.96875
Correct 28.78125
Correct 27.78125
Wrong 21.625
Wrong 28.0
Wrong 26.390625
Correct 26.015625
Correct 27.015625
Wrong 29.828125
Correct 27.234375
Correct 26.015625
Wrong 32.09375
Correct 33.84375
Correct 25.796875
Wrong 24.765625
Wrong 22.921875
Correct 31.5
Wrong 24.484375
Correct 23.90625
Wrong 27.59375
Wrong 24.671875
Wrong 28.015625
Correct 32.625
Correct 31.984375
Correct 27.53125
Correct 33.375
Wrong 25.875
Wrong 27.40625
Correct 29.671875
Wrong 30.03125
Wrong 22.3125
Correct 30.609375
Wrong 31.109375
Correct 23.734375
Correct 33.65625
Correct 25.078125
Correct 31.53125
Correct 26.8125
Wrong 26.84375
Correct 33.53125
Wrong 29.546875
Correct 30.328125
Correct 31.375
Correct 29.015625
Correct 22.3125
Correct 28.96875
Correct 25.34375
Wrong 25.40625
Correct 30.390625
Correct 24.046875
Wrong 27.578125
Correct 25.0625
Wrong 23.65625
Correct 31.0625
Wrong 27.484375
Wrong 26.765625
Wrong 27.828125
Correct 34.03125
Wrong 30.3125
Correct 29.3125
Correct 34.90625
Wrong 26.578125
Correct 29.84375
Wrong 29.5
Correct 31.15625
Correct 29.78125
Wrong 25.796875
Wrong 27.203125
Correct 27.265625
Correct 30.0625
Correct 30.40625
Wrong 24.484375
Wrong 25.359375
Wrong 20.53125
Correct 27.234375
Correct 29.59375
Wrong 27.765625
Correct 29.71875
Correct 28.234375
Correct 21.875
Wrong 30.265625
Correct 28.0625
Wrong 24.6875
Wrong 20.828125
Correct 28.984375
Correct 28.3125
Correct 30.640625
Wrong 31.140625
Correct 27.0
Correct 29.84375
Correct 28.546875
Wrong 26.234375
Correct 28.1875
Correct 24.015625
Correct 24.65625
Correct 26.484375
Wrong 26.984375
Wrong 22.4375
Correct 33.0
Correct 31.828125
Wrong 33.65625
Correct 30.203125
Wrong 29.4375
Wrong 28.90625
Correct 24.609375
Wrong 30.0625
Wrong 23.21875
Wrong 27.578125
Wrong 19.484375
Wrong 32.09375
Correct 29.875
Wrong 22.984375
Correct 26.625
Wrong 22.046875
Wrong 33.75
Wrong 29.703125
Correct 29.015625
Correct 24.953125
Correct 29.1875
Correct 31.140625
Correct 31.046875
Wrong 25.796875
Wrong 25.71875
Correct 29.734375
Correct 23.15625
Wrong 23.734375
Wrong 25.28125
Wrong 27.625
Wrong 25.015625
Wrong 23.3125
Correct 29.65625
Correct 29.671875
Correct 25.640625
Correct 26.421875
Correct 31.015625
Correct 19.34375
Correct 29.4375
Wrong 29.015625
Wrong 30.53125
Wrong 29.5625
Wrong 24.265625
Correct 28.09375
Correct 31.0
Correct 28.25
Wrong 23.671875
Correct 28.21875
Correct 28.078125
Wrong 31.484375
Wrong 23.015625
Wrong 22.96875
Correct 32.15625
Correct 26.9375
Correct 30.296875
Wrong 26.96875
Correct 32.09375
Correct 30.265625
Correct 33.59375
Wrong 29.5625
Correct 31.234375
Correct 25.390625
Correct 31.234375
Wrong 28.0625
Wrong 25.078125
Wrong 30.53125
Wrong 28.109375
Wrong 27.59375
Wrong 31.734375
Wrong 22.65625
Wrong 23.5625
Wrong 25.75
Correct 27.171875
Correct 26.390625
Wrong 26.765625
Correct 30.75
Wrong 24.5
Wrong 29.953125
Wrong 26.859375
Correct 23.671875
Wrong 35.71875
Correct 32.0625
Correct 32.6875
Correct 28.84375
Correct 33.625
Wrong 29.921875
Correct 33.34375
Correct 33.03125
Wrong 28.90625
Wrong 29.140625
Wrong 32.375
Wrong 25.609375
Wrong 28.140625
Correct 32.15625
Wrong 28.359375
Correct 23.109375
Wrong 24.28125
Correct 33.03125
Wrong 29.140625
Correct 27.609375
Correct 28.390625
Wrong 31.734375
Correct 33.1875
Wrong 23.46875
Correct 27.71875
Correct 28.140625
Wrong 28.0625
Wrong 19.703125
Wrong 25.796875
Correct 29.71875
Correct 30.171875
Wrong 18.890625
Correct 32.28125
Wrong 28.4375
Wrong 25.875
Wrong 24.34375
Correct 31.203125
Wrong 17.65625
Wrong 28.359375
Wrong 24.671875
Correct 29.109375
Wrong 23.859375
Wrong 24.515625
Wrong 26.15625
Correct 20.53125
Wrong 31.125
Correct 25.875
Correct 30.34375
Correct 29.484375
Correct 26.125
Correct 29.25
Correct 31.8125
Wrong 31.875
Correct 31.90625
Wrong 26.5
Wrong 30.671875
Correct 30.234375
Wrong 27.609375
Wrong 28.0625
Wrong 26.953125
Correct 32.28125
Wrong 30.53125
Correct 25.703125
Correct 29.171875
Wrong 32.9375
Correct 31.390625
Correct 33.03125
Wrong 27.046875
Wrong 32.21875
Wrong 21.3125
Correct 28.84375
Correct 32.21875
Correct 29.40625
Correct 23.96875
Correct 28.984375
Correct 28.34375
Correct 32.78125
Correct 24.984375
Wrong 22.953125
Correct 29.46875
Wrong 18.953125
Correct 27.0625
Wrong 26.09375
Wrong 24.59375
Correct 32.5625
Correct 29.421875
Wrong 28.75
Wrong 24.375
Correct 29.15625
Wrong 29.703125
Correct 24.625
Correct 33.53125
Correct 32.40625
Correct 29.796875
Wrong 32.625
Correct 28.90625
Correct 35.125
Correct 23.5
Correct 26.140625
Correct 32.96875
Correct 31.515625
Correct 31.125
Wrong 24.0
Correct 30.140625
Correct 33.875
Wrong 28.28125
Correct 27.6875
Wrong 27.640625
Wrong 32.875
Correct 31.28125
Wrong 22.90625
Correct 28.09375
Correct 25.375
Correct 23.984375
Correct 29.671875
Correct 32.9375
Correct 32.6875
Correct 27.0
Correct 31.328125
Correct 23.984375
Correct 24.9375
Correct 30.8125
Correct 30.0
Correct 26.828125
Correct 29.40625
Correct 30.84375
Correct 26.71875
Correct 26.765625
Wrong 26.65625
Correct 31.453125
Correct 33.9375
Wrong 23.140625
Wrong 31.0
Correct 27.453125
Wrong 23.03125
Wrong 27.84375
Correct 26.296875
Wrong 25.28125
Correct 30.21875
Wrong 30.8125
Wrong 27.75
Correct 29.984375
Correct 29.375
Wrong 28.59375
Correct 23.859375
Correct 23.953125
Wrong 25.4375
Wrong 23.359375
Correct 23.484375
Correct 33.4375
Correct 32.90625
Correct 28.484375
Wrong 30.296875
Wrong 26.78125
Wrong 30.609375
Wrong 27.75
Wrong 27.453125
Correct 26.015625
Wrong 32.09375
Correct 32.34375
Correct 26.09375
Wrong 30.6875
Correct 23.8125
Wrong 23.359375
Correct 26.90625
Correct 32.84375
Wrong 28.3125
Correct 33.03125
Correct 28.234375
Wrong 32.8125
Correct 27.03125
Correct 24.03125
Correct 32.71875
Wrong 17.75
Correct 28.671875
Wrong 24.125
Correct 23.09375
Wrong 26.28125
Wrong 26.9375
Correct 33.875
Correct 29.921875
Correct 23.8125
Correct 33.5625
Wrong 28.796875
Correct 20.828125
Wrong 22.203125
Wrong 27.84375
Wrong 24.5
Correct 27.28125
Correct 34.125
Correct 23.609375
Correct 25.046875
Wrong 27.5625
Correct 23.15625
Correct 27.34375
Wrong 22.890625
Correct 29.796875
Correct 29.375
Wrong 21.71875
Correct 27.390625
Wrong 31.390625
Correct 25.859375
Wrong 27.421875
Wrong 25.953125
Wrong 23.765625
Correct 24.734375
Wrong 26.671875
Wrong 25.671875
Correct 27.4375
Correct 32.40625
Correct 25.25
Correct 30.265625
Wrong 31.515625
Correct 29.734375
Correct 29.046875
Correct 31.375
Correct 27.390625
Correct 29.96875
Correct 24.21875
Wrong 26.734375
Correct 29.4375
Wrong 19.671875
Correct 29.0625
Correct 33.3125
Correct 33.1875
Wrong 24.71875
Correct 28.640625
Correct 28.015625
Correct 28.625
Wrong 21.125
Correct 35.09375
Correct 27.640625
Correct 26.0
Wrong 29.046875
Wrong 28.15625
Correct 22.46875
Correct 32.21875
Correct 28.578125
Correct 27.171875
Wrong 22.9375
Correct 31.53125
Correct 30.0625
