grade confidence_level
Correct 19.875
Wrong 17.171875
Correct 19.0625
Wrong 17.28125
Correct 19.546875
Wrong 17.71875
Wrong 17.84375
Correct 16.921875
Wrong 18.625
Correct 17.71875
Correct 15.8515625
Correct 17.21875
Correct 18.25
Correct 18.28125
Wrong 19.75
Wrong 18.03125
Correct 17.15625
Correct 17.484375
Correct 16.5625
Correct 20.40625
Correct 16.375
Wrong 17.15625
Wrong 16.390625
Correct 18.640625
Wrong 18.25
Correct 17.578125
Correct 17.078125
Correct 18.09375
Correct 17.25
Correct 17.921875
Wrong 17.109375
Wrong 15.8359375
Wrong 17.203125
Correct 18.15625
Wrong 19.4375
Wrong 19.25
Wrong 16.15625
Correct 18.3125
Correct 18.0625
Wrong 17.890625
Wrong 17.1875
Abstained 16.765625
Correct 19.609375
Correct 17.890625
Wrong 17.578125
Correct 18.015625
Correct 18.171875
Wrong 17.359375
Correct 17.828125
Wrong 17.6875
Wrong 17.890625
Wrong 16.625
Correct 19.296875
Wrong 16.953125
Wrong 16.296875
Correct 16.4375
Wrong 16.734375
Correct 17.546875
Correct 17.390625
Wrong 17.875
Wrong 16.359375
Correct 16.546875
Correct 17.59375
Correct 18.09375
Correct 17.203125
Correct 17.78125
Wrong 17.109375
Correct 16.671875
Wrong 17.984375
Wrong 20.078125
Correct 19.0625
Wrong 18.03125
Correct 18.84375
Wrong 17.453125
Correct 18.96875
Correct 17.4375
Wrong 17.84375
Correct 17.5625
Correct 16.265625
Correct 19.09375
Wrong 17.484375
Wrong 16.46875
Correct 18.03125
Wrong 17.5
Correct 17.453125
Wrong 18.359375
Correct 17.140625
Wrong 18.96875
Correct 17.109375
Correct 17.53125
Wrong 17.96875
Correct 17.765625
Correct 17.515625
Wrong 17.328125
Wrong 17.984375
Correct 17.09375
Wrong 18.75
Wrong 17.28125
Correct 17.546875
Wrong 17.296875
Wrong 17.453125
Correct 18.609375
Correct 16.640625
Correct 16.59375
Wrong 17.28125
Wrong 17.109375
Wrong 17.09375
Wrong 16.609375
Wrong 18.390625
Correct 17.046875
Correct 19.15625
Correct 18.21875
Wrong 17.609375
Wrong 19.109375
Wrong 18.203125
Correct 18.34375
Wrong 19.765625
Correct 17.34375
Wrong 16.6875
Correct 18.453125
Wrong 18.046875
Correct 17.28125
Wrong 16.8125
Wrong 17.453125
Correct 17.90625
Wrong 18.421875
Wrong 17.5625
Wrong 17.828125
Correct 18.25
Wrong 17.796875
Wrong 16.90625
Correct 17.390625
Wrong 16.671875
Wrong 18.203125
Correct 18.140625
Wrong 16.953125
Wrong 17.25
Wrong 17.8125
Wrong 17.828125
Wrong 16.890625
Wrong 18.953125
Wrong 18.453125
Wrong 17.859375
Wrong 17.90625
Wrong 16.59375
Correct 20.34375
Wrong 17.71875
Wrong 17.765625
Wrong 16.734375
Correct 20.25
Correct 18.1875
Wrong 18.6875
Wrong 16.953125
Wrong 16.9375
Wrong 18.625
Correct 18.0625
Wrong 17.75
Wrong 15.8984375
Correct 17.3125
Wrong 17.546875
Wrong 18.671875
Wrong 17.265625
Wrong 16.734375
Correct 17.15625
Correct 18.125
Wrong 17.125
Wrong 16.359375
Wrong 17.1875
Wrong 17.046875
Wrong 16.859375
Wrong 16.046875
Correct 18.65625
Wrong 17.15625
Wrong 17.78125
Correct 19.546875
Correct 18.484375
Abstained 16.5
Wrong 17.84375
Abstained 16.8125
Wrong 17.71875
Correct 18.984375
Wrong 16.953125
Wrong 17.328125
Correct 16.953125
Correct 18.1875
Correct 17.25
Wrong 16.671875
Wrong 16.96875
Wrong 16.84375
Wrong 17.078125
Correct 17.671875
Wrong 17.890625
Wrong 16.84375
Wrong 17.328125
Wrong 17.671875
Correct 17.203125
Correct 18.328125
Correct 15.71875
Correct 18.15625
Correct 18.375
Wrong 16.703125
Correct 17.5625
Wrong 18.375
Wrong 17.9375
Correct 17.21875
Correct 16.4375
Wrong 17.25
Correct 19.125
Correct 17.1875
Correct 17.765625
Wrong 17.046875
Wrong 16.109375
Wrong 17.125
Correct 16.640625
Correct 16.609375
Wrong 16.046875
Wrong 17.65625
Wrong 17.8125
Correct 17.359375
Correct 15.9140625
Wrong 16.6875
Wrong 18.078125
Wrong 18.8125
Correct 16.90625
Wrong 17.28125
Correct 18.125
Correct 19.421875
Wrong 17.65625
Wrong 17.4375
Correct 16.71875
Wrong 19.09375
Correct 18.0
Wrong 17.6875
Wrong 18.046875
Wrong 17.890625
Wrong 17.28125
Wrong 18.65625
Correct 17.65625
Correct 17.046875
Correct 17.046875
Correct 18.1875
Correct 19.8125
Correct 17.71875
Wrong 17.03125
Correct 19.84375
Wrong 17.96875
Wrong 16.96875
Correct 17.25
Wrong 18.265625
Wrong 16.6875
Correct 18.609375
Abstained 18.046875
Correct 19.921875
Wrong 18.515625
Correct 17.078125
Wrong 18.328125
Wrong 16.328125
Correct 18.65625
Correct 18.671875
Correct 16.734375
Correct 18.953125
Correct 18.6875
Wrong 17.6875
Wrong 17.171875
Wrong 17.75
Correct 19.703125
Wrong 17.84375
Correct 17.75
Correct 18.953125
Wrong 16.9375
Wrong 16.921875
Correct 17.65625
Wrong 17.234375
Correct 16.921875
Correct 16.859375
Wrong 17.3125
Wrong 16.53125
Correct 18.171875
Correct 19.96875
Correct 17.09375
Correct 17.265625
Wrong 17.6875
Correct 17.625
Wrong 17.4375
Wrong 16.53125
Wrong 19.03125
Wrong 17.390625
Wrong 17.515625
Wrong 17.25
Wrong 17.8125
Wrong 18.3125
Correct 17.25
Correct 18.9375
Wrong 15.25
Wrong 18.359375
Correct 16.265625
Wrong 18.34375
Correct 17.3125
Correct 20.859375
Correct 17.03125
Wrong 16.4375
Correct 20.203125
Wrong 16.875
Wrong 19.125
Correct 17.015625
Correct 20.25
Correct 17.96875
Wrong 16.921875
Correct 18.09375
Wrong 17.09375
Correct 17.46875
Wrong 16.484375
Correct 19.1875
Wrong 17.109375
Wrong 18.25
Wrong 16.78125
Wrong 16.984375
Abstained 16.609375
Correct 17.625
Correct 20.203125
Wrong 17.4375
Wrong 17.203125
Correct 17.453125
Wrong 16.171875
Correct 17.40625
Wrong 18.796875
Correct 17.859375
Abstained 16.484375
Correct 17.328125
Correct 19.46875
Wrong 17.765625
Wrong 18.46875
Correct 17.390625
Correct 18.609375
Correct 16.359375
Correct 16.671875
Correct 16.53125
Wrong 16.78125
Wrong 17.1875
Correct 15.7265625
Correct 16.890625
Wrong 17.765625
Correct 18.421875
Wrong 16.640625
Correct 17.984375
Correct 18.734375
Correct 18.3125
Correct 17.375
Wrong 17.265625
Correct 18.390625
Wrong 17.453125
Correct 17.34375
Correct 18.4375
Correct 17.28125
Correct 17.46875
Wrong 16.859375
Abstained 16.375
Correct 16.953125
Wrong 18.359375
Wrong 17.015625
Correct 17.4375
Correct 17.609375
Wrong 17.609375
Correct 16.78125
Wrong 16.25
Wrong 17.234375
Correct 17.59375
Correct 16.78125
Wrong 19.0625
Correct 19.5625
Correct 17.59375
Correct 17.0625
Wrong 18.71875
Correct 17.8125
Wrong 18.546875
Correct 17.359375
Wrong 17.328125
Abstained 16.78125
Wrong 17.46875
Wrong 16.390625
