grade confidence_level
Wrong 23.9375
Correct 24.890625
Correct 24.71875
Correct 22.859375
Correct 24.328125
Correct 23.609375
Correct 23.21875
Correct 23.03125
Correct 23.078125
Wrong 22.484375
Correct 23.9375
Correct 21.625
Correct 21.875
Wrong 21.875
Correct 24.453125
Wrong 21.796875
Correct 22.171875
Correct 23.484375
Correct 23.671875
Correct 21.921875
Correct 23.78125
Correct 20.8125
Correct 21.796875
Correct 22.90625
Correct 21.65625
Wrong 23.015625
Wrong 22.109375
Wrong 22.75
Correct 23.390625
Correct 23.453125
Correct 22.6875
Correct 23.515625
Correct 23.484375
Correct 23.90625
Correct 25.046875
Wrong 22.265625
Correct 22.953125
Correct 24.515625
Correct 23.515625
Correct 25.0
Correct 24.28125
Correct 22.59375
Correct 24.0625
Wrong 22.28125
Correct 24.546875
Correct 23.046875
Correct 25.421875
Correct 20.828125
Correct 24.21875
Correct 23.0
Correct 25.078125
Wrong 23.390625
Correct 25.046875
Correct 23.0
Correct 24.34375
Wrong 23.25
Correct 21.609375
Wrong 22.25
Correct 22.9375
Correct 23.203125
Correct 22.828125
Correct 20.15625
Wrong 21.65625
Correct 22.640625
Correct 22.046875
Correct 22.4375
Correct 23.078125
Correct 22.140625
Correct 22.5625
Correct 22.6875
Correct 24.125
Correct 24.671875
Correct 21.8125
Correct 24.171875
Wrong 22.109375
Correct 23.578125
Correct 22.8125
Wrong 20.640625
Wrong 22.53125
Correct 22.578125
Correct 23.171875
Correct 23.59375
Correct 21.703125
Correct 22.265625
Correct 20.578125
Wrong 23.203125
Correct 21.609375
Wrong 22.25
Correct 22.015625
Correct 24.390625
Correct 23.875
Wrong 20.875
Correct 23.03125
Correct 22.5625
Wrong 23.359375
Correct 22.359375
Correct 24.5
Correct 24.5625
Correct 23.328125
Correct 23.296875
Correct 22.953125
Correct 23.78125
Correct 22.140625
Correct 24.09375
Correct 23.625
Correct 23.125
Wrong 22.484375
Wrong 23.40625
Correct 20.796875
Correct 24.875
Correct 22.71875
Wrong 22.875
Correct 24.40625
Correct 22.890625
Correct 23.25
Wrong 21.015625
Correct 21.21875
Correct 23.9375
Wrong 22.328125
Correct 21.984375
Wrong 22.046875
Correct 22.390625
Wrong 21.734375
Correct 22.34375
Correct 22.328125
Correct 23.0
Correct 23.171875
Correct 21.921875
Wrong 21.84375
Unparseable 0
Wrong 20.8125
Correct 22.078125
Correct 24.28125
Wrong 21.859375
Correct 24.21875
Wrong 22.15625
Correct 24.3125
Wrong 22.84375
Correct 23.125
Correct 24.390625
Correct 24.625
Correct 20.75
Correct 22.375
Correct 23.46875
Correct 22.5625
Correct 21.265625
Wrong 22.71875
Wrong 21.84375
Wrong 24.609375
Correct 22.90625
Correct 23.859375
Correct 22.578125
Correct 22.296875
Correct 23.171875
Correct 21.59375
Correct 21.453125
Correct 23.734375
Wrong 21.796875
Correct 24.328125
Wrong 21.21875
Correct 21.359375
Wrong 21.03125
Correct 23.859375
Correct 22.4375
Correct 23.15625
Correct 24.03125
Correct 23.25
Correct 23.390625
Wrong 21.03125
Correct 22.046875
Correct 24.828125
Wrong 21.828125
Correct 20.765625
Correct 21.484375
Correct 23.328125
Correct 23.484375
Wrong 21.015625
Correct 22.71875
Correct 23.25
Correct 22.984375
Correct 22.46875
Correct 24.328125
Correct 23.234375
Correct 24.609375
Correct 24.046875
Correct 22.96875
Correct 23.453125
Correct 22.0625
Wrong 21.96875
Correct 22.515625
Correct 23.1875
Correct 22.421875
Correct 24.203125
Wrong 20.640625
Correct 19.296875
Wrong 22.453125
Correct 22.5
Correct 22.125
Correct 21.671875
Wrong 20.296875
Correct 24.828125
Correct 21.546875
Correct 22.15625
Wrong 22.5
Correct 22.984375
Correct 24.5
Correct 20.5625
Correct 23.5
Correct 22.734375
Correct 22.296875
Correct 23.046875
Correct 23.1875
Correct 21.015625
Correct 23.359375
Wrong 21.28125
Correct 22.171875
Correct 24.03125
Correct 24.28125
Correct 21.625
Correct 22.734375
Wrong 22.40625
Correct 24.171875
Correct 23.359375
Correct 24.15625
Correct 23.046875
Correct 21.4375
Correct 22.078125
Wrong 22.21875
Correct 23.140625
Correct 22.296875
Wrong 23.53125
Correct 23.625
Correct 21.921875
Wrong 21.984375
Correct 24.4375
Wrong 22.390625
Wrong 21.3125
Correct 21.828125
Wrong 24.3125
Correct 23.671875
Wrong 22.1875
Correct 21.875
Wrong 23.78125
Correct 23.15625
Wrong 22.015625
Correct 21.859375
Correct 25.109375
Correct 22.171875
Correct 21.875
Wrong 22.703125
Correct 24.53125
Correct 23.359375
Wrong 22.453125
Wrong 20.90625
Correct 21.296875
Wrong 22.09375
Correct 23.078125
Correct 23.15625
Wrong 23.390625
Wrong 21.96875
Correct 23.34375
Correct 23.671875
Correct 22.5
Wrong 20.4375
Correct 25.078125
Correct 25.65625
Correct 23.3125
Wrong 24.34375
Correct 21.546875
Correct 22.9375
Wrong 21.34375
Wrong 23.203125
Correct 21.484375
Wrong 22.859375
Correct 23.71875
Correct 22.59375
Correct 24.6875
Correct 22.53125
Correct 22.390625
Correct 24.234375
Correct 24.375
Correct 22.65625
Correct 22.703125
Correct 23.375
Wrong 23.46875
Correct 23.359375
Correct 22.125
Wrong 21.015625
Correct 22.328125
Wrong 21.953125
Correct 21.53125
Correct 24.65625
Correct 21.6875
Correct 23.8125
Correct 24.40625
Wrong 21.015625
Correct 24.078125
Wrong 20.171875
Correct 23.078125
Correct 22.890625
Correct 22.15625
Correct 24.921875
Correct 24.5625
Correct 24.671875
Correct 24.015625
Wrong 20.859375
Wrong 20.5
Correct 23.46875
Wrong 20.140625
Correct 23.671875
Correct 24.53125
Correct 23.609375
Correct 20.5
Correct 23.234375
Correct 21.015625
Correct 23.578125
Correct 21.59375
Wrong 20.796875
Correct 23.546875
Correct 24.390625
Wrong 21.234375
Correct 24.90625
Correct 23.28125
Wrong 23.078125
Correct 22.515625
Correct 21.515625
Wrong 22.0
Wrong 21.6875
Correct 21.421875
Wrong 21.53125
Correct 23.828125
Wrong 20.96875
Correct 24.546875
Wrong 21.515625
Correct 23.015625
Correct 21.609375
Correct 22.75
Correct 22.609375
Correct 23.84375
Correct 21.953125
Correct 23.984375
Wrong 20.921875
Correct 22.09375
Correct 23.40625
