grade confidence_level
Correct 25.21875
Correct 26.359375
Correct 27.46875
Correct 28.953125
Correct 27.234375
Correct 31.65625
Abstained 26.546875
Wrong 26.296875
Correct 25.46875
Correct 25.984375
Correct 29.890625
Correct 26.75
Abstained 25.21875
Abstained 28.65625
Correct 26.453125
Wrong 27.296875
Abstained 21.40625
Correct 25.921875
Correct 28.796875
Correct 30.546875
Correct 26.359375
Correct 30.984375
Correct 26.9375
Correct 20.78125
Wrong 26.453125
Correct 21.6875
Correct 21.5
Abstained 19.046875
Correct 32.78125
Correct 27.671875
Correct 31.046875
Correct 28.75
Correct 25.9375
Abstained 17.859375
Correct 27.25
Wrong 28.359375
Correct 29.96875
Correct 26.953125
Correct 33.40625
Correct 26.015625
Correct 28.015625
Correct 26.359375
Wrong 29.703125
Correct 25.359375
Correct 27.9375
Correct 24.828125
Correct 27.359375
Correct 28.953125
Correct 26.125
Correct 31.90625
Correct 26.15625
Wrong 24.859375
Correct 25.875
Correct 30.640625
Correct 27.84375
Wrong 26.53125
Correct 27.0
Abstained 23.0625
Correct 28.515625
Correct 30.8125
Correct 26.6875
Correct 23.734375
Abstained 24.71875
Correct 34.0
Correct 30.9375
Correct 32.5
Correct 28.1875
Correct 28.171875
Correct 28.9375
Abstained 26.53125
Correct 26.6875
Correct 26.1875
Abstained 23.828125
Correct 26.609375
Wrong 24.28125
Abstained 22.3125
Correct 30.734375
Correct 26.609375
Abstained 19.15625
Correct 31.578125
Correct 27.71875
Correct 24.671875
Correct 26.078125
Correct 31.328125
Correct 28.109375
Correct 30.59375
Abstained 23.25
Correct 21.15625
Correct 30.71875
Correct 22.625
Correct 28.0
Correct 28.328125
Correct 28.28125
Correct 33.21875
Correct 29.671875
Correct 29.15625
Correct 24.984375
Correct 28.203125
Abstained 23.203125
Correct 29.109375
Correct 31.484375
Correct 29.4375
Correct 26.046875
Correct 24.65625
Correct 28.578125
Correct 30.875
Correct 22.921875
Correct 26.359375
Correct 30.5
Correct 26.734375
Abstained 22.703125
Correct 34.46875
Correct 31.5
Correct 22.21875
Correct 26.390625
Wrong 25.703125
Correct 26.515625
Correct 25.515625
Correct 24.875
Correct 25.640625
Correct 27.015625
Correct 30.34375
Correct 22.34375
Abstained 25.890625
Correct 23.5
Correct 27.84375
Wrong 26.6875
Correct 30.15625
Abstained 29.03125
Wrong 27.875
Correct 23.96875
Correct 31.40625
Correct 26.125
Correct 29.0625
Correct 27.15625
Correct 25.53125
Correct 26.0
Correct 30.390625
Correct 24.96875
Correct 26.53125
Correct 27.4375
Correct 28.640625
Correct 25.125
Wrong 28.734375
Correct 26.96875
Abstained 22.453125
Correct 30.625
Correct 32.71875
Correct 31.59375
Correct 28.8125
Correct 33.46875
Correct 26.40625
Correct 28.59375
Correct 32.5
Correct 28.96875
Abstained 25.046875
Correct 24.015625
Abstained 25.59375
Correct 28.75
Correct 21.828125
Correct 23.640625
Abstained 24.84375
Correct 28.296875
Abstained 22.015625
Correct 29.625
Correct 31.484375
Correct 22.890625
Correct 29.84375
Wrong 28.15625
Correct 27.484375
Correct 24.203125
Abstained 28.0
Correct 29.796875
Unparseable 0
Correct 32.125
Correct 30.984375
Correct 26.53125
Correct 29.421875
Abstained 26.5
Correct 26.78125
Correct 24.703125
Correct 26.703125
Correct 24.234375
Correct 26.9375
Correct 30.78125
Correct 30.484375
Wrong 25.3125
Correct 24.828125
Correct 29.25
Correct 31.140625
Correct 21.296875
Correct 33.8125
Correct 25.9375
Abstained 28.203125
Abstained 21.390625
Wrong 30.4375
Wrong 31.65625
Abstained 21.453125
Correct 30.046875
Correct 29.015625
Correct 26.75
Correct 29.390625
Correct 28.546875
Correct 30.09375
Correct 29.09375
Correct 24.34375
Correct 29.65625
Abstained 22.71875
Correct 25.09375
Correct 30.859375
Correct 27.0
Correct 31.90625
Abstained 23.921875
Correct 26.546875
Correct 28.609375
Correct 32.875
Correct 25.375
Correct 28.078125
Correct 22.1875
Correct 27.671875
Wrong 30.734375
Correct 27.421875
Correct 31.109375
Correct 31.328125
Correct 30.375
Correct 30.640625
Abstained 25.625
Abstained 24.921875
Correct 21.875
Correct 29.140625
Wrong 26.171875
Correct 31.765625
Correct 22.875
Correct 22.34375
Correct 17.859375
Correct 29.359375
Abstained 24.09375
Correct 28.578125
Correct 29.921875
Correct 26.859375
Correct 27.171875
Correct 30.03125
Correct 32.875
Correct 28.4375
Abstained 21.40625
Wrong 28.046875
Correct 25.03125
Abstained 25.234375
Abstained 23.453125
Correct 30.40625
Correct 24.765625
Correct 25.6875
Abstained 26.53125
Correct 25.671875
Wrong 26.5625
Correct 29.015625
Correct 32.53125
Correct 32.0625
Correct 32.59375
Correct 23.5
Correct 32.21875
Correct 27.421875
Correct 27.890625
Wrong 31.421875
Correct 26.359375
Correct 28.140625
Correct 25.84375
Correct 29.34375
Wrong 29.375
Correct 33.78125
Correct 30.953125
Correct 29.84375
Abstained 24.796875
Wrong 25.578125
Correct 19.96875
Correct 31.078125
Correct 26.265625
Correct 24.671875
Correct 27.53125
Correct 26.5625
Correct 26.578125
Correct 31.46875
Correct 25.78125
Abstained 20.90625
Correct 31.390625
Correct 30.265625
Correct 32.65625
Correct 27.84375
Correct 28.78125
Correct 26.4375
Correct 29.8125
Correct 26.796875
Correct 23.828125
Correct 25.921875
Correct 24.46875
Correct 27.0625
Correct 24.984375
Correct 21.71875
Correct 31.84375
Correct 26.296875
Correct 29.234375
Correct 27.8125
Correct 21.171875
Correct 25.859375
Correct 25.1875
Correct 22.796875
Wrong 31.703125
Correct 18.328125
Correct 23.578125
Correct 29.265625
Correct 25.984375
Correct 25.859375
Correct 31.390625
Correct 26.109375
Correct 27.328125
Correct 31.109375
Correct 29.234375
Correct 26.953125
Wrong 24.0625
Correct 26.125
Correct 29.984375
Correct 32.625
Correct 30.234375
Wrong 21.09375
Correct 31.890625
Wrong 27.59375
Correct 28.265625
Correct 21.375
Wrong 24.015625
Abstained 22.59375
Correct 27.46875
Correct 24.40625
Correct 25.609375
Correct 29.234375
Correct 25.78125
Correct 27.859375
Correct 26.15625
Correct 32.3125
Correct 26.21875
Wrong 27.703125
Correct 24.96875
Wrong 21.03125
Wrong 29.71875
Correct 27.5
Correct 23.03125
Correct 24.640625
Correct 33.46875
Correct 31.53125
Abstained 23.46875
Abstained 24.921875
Abstained 23.390625
Abstained 19.9375
Correct 26.703125
Abstained 22.3125
Correct 24.53125
Correct 28.578125
Correct 26.515625
Abstained 28.609375
Correct 27.40625
Wrong 27.875
Correct 23.78125
Correct 31.703125
Correct 27.4375
Correct 28.421875
Correct 27.390625
Correct 30.921875
Correct 27.46875
Wrong 29.703125
Correct 29.78125
Correct 28.875
Correct 28.671875
Wrong 30.9375
Correct 31.734375
Correct 31.234375
Correct 26.109375
Correct 24.6875
Correct 29.171875
Correct 24.265625
Correct 27.78125
Correct 26.578125
Correct 25.9375
Abstained 21.578125
Correct 30.171875
Correct 27.421875
Correct 19.125
Correct 29.140625
Correct 26.453125
Correct 30.1875
Correct 26.703125
Abstained 22.296875
Correct 31.703125
Correct 25.546875
Correct 28.71875
Correct 32.75
Wrong 28.71875
Correct 29.625
Correct 33.4375
Abstained 17.640625
Correct 26.609375
Correct 26.421875
Correct 31.984375
Correct 26.125
Abstained 24.9375
Correct 27.375
Correct 24.203125
Correct 28.90625
Correct 28.375
Correct 25.390625
Wrong 24.609375
Correct 32.3125
Correct 24.984375
Correct 31.265625
Correct 32.15625
Correct 27.625
Correct 25.34375
Correct 24.65625
Correct 26.203125
Correct 25.140625
Abstained 25.3125
Correct 31.46875
Correct 29.046875
Correct 29.484375
Correct 25.359375
Correct 27.6875
Abstained 24.6875
Unparseable 0
Correct 28.21875
Correct 30.34375
Wrong 27.421875
Correct 29.5625
Correct 30.90625
Correct 28.046875
Abstained 30.75
Correct 30.890625
Correct 27.40625
Correct 27.921875
Correct 29.15625
Correct 26.328125
Abstained 30.40625
Correct 25.359375
Abstained 28.5625
Correct 26.46875
Abstained 22.546875
Correct 27.828125
Abstained 21.90625
Correct 25.859375
Correct 27.125
Correct 29.859375
Correct 24.5625
Correct 29.171875
Wrong 22.15625
Correct 26.015625
Correct 27.8125
Wrong 31.109375
Correct 24.96875
Correct 31.25
Wrong 25.453125
Correct 32.4375
Correct 31.578125
Correct 18.75
Correct 21.609375
Correct 28.828125
Correct 27.421875
Correct 30.3125
Wrong 24.46875
Correct 29.125
Correct 27.578125
Correct 24.828125
Correct 28.953125
Correct 32.96875
Abstained 24.015625
Correct 28.65625
Correct 31.25
Wrong 27.234375
Abstained 27.21875
Correct 28.34375
Correct 29.5
Correct 27.828125
Correct 23.140625
Correct 30.140625
Correct 27.828125
Correct 26.734375
Abstained 23.328125
Correct 27.5625
Abstained 30.28125
Wrong 32.28125
Abstained 29.53125
Correct 34.9375
Correct 25.546875
Correct 26.546875
Correct 28.375
Correct 28.75
Correct 29.1875
Correct 30.75
Correct 30.6875
Correct 27.484375
Correct 33.125
Correct 30.953125
Correct 24.71875
Abstained 26.125
