grade confidence_level
Correct 29.375
Correct 29.21875
Correct 26.21875
Correct 29.453125
Correct 27.34375
Wrong 22.546875
Correct 32.0625
Correct 28.953125
Correct 27.265625
Correct 30.046875
Correct 28.546875
Unparseable 0
Wrong 31.671875
Correct 33.71875
Correct 27.75
Correct 28.453125
Correct 30.375
Correct 30.15625
Correct 26.96875
Correct 21.453125
Correct 33.84375
Correct 28.46875
Correct 28.171875
Correct 21.171875
Correct 31.453125
Correct 25.25
Wrong 26.4375
Correct 27.875
Correct 27.703125
Correct 30.640625
Correct 24.09375
Correct 25.296875
Correct 26.3125
Correct 20.671875
Wrong 27.234375
Correct 26.53125
Correct 30.96875
Correct 26.78125
Correct 20.5
Correct 27.484375
Correct 30.625
Correct 30.328125
Correct 29.1875
Correct 29.703125
Correct 28.953125
Correct 27.765625
Correct 29.0
Correct 28.078125
Correct 30.828125
Correct 29.96875
Correct 26.578125
Correct 32.0625
Correct 25.234375
Wrong 23.59375
Correct 32.6875
Correct 27.078125
Wrong 25.015625
Correct 31.234375
Correct 30.09375
Correct 34.15625
Correct 27.359375
Correct 32.25
Wrong 28.265625
Correct 29.546875
Wrong 27.09375
Correct 27.890625
Correct 32.84375
Correct 25.84375
Correct 28.859375
Correct 25.375
Correct 31.03125
Correct 22.75
Correct 26.15625
Correct 31.34375
Correct 31.03125
Correct 25.234375
Correct 27.625
Correct 29.375
Wrong 27.96875
Correct 29.296875
Correct 29.90625
Correct 29.484375
Correct 30.875
Correct 30.484375
Correct 31.46875
Correct 29.109375
Correct 21.3125
Correct 29.6875
Correct 25.765625
Correct 23.359375
Correct 23.03125
Wrong 20.9375
Wrong 25.140625
Wrong 22.515625
Correct 26.96875
Correct 30.859375
Correct 33.8125
Correct 30.53125
Correct 28.6875
Correct 26.71875
Correct 28.515625
Correct 26.328125
Correct 30.375
Correct 24.90625
Correct 27.296875
Correct 32.40625
Correct 27.5625
Correct 32.9375
Correct 30.34375
Correct 27.671875
Correct 28.84375
Correct 29.265625
Correct 28.375
Correct 31.875
Correct 26.265625
Correct 29.28125
Correct 32.15625
Wrong 30.921875
Correct 26.296875
Correct 26.984375
Correct 29.203125
Correct 30.65625
Correct 28.59375
Correct 32.84375
Correct 29.765625
Wrong 29.984375
Correct 29.234375
Correct 25.03125
Correct 32.90625
Correct 27.703125
Correct 30.484375
Correct 34.34375
Correct 30.671875
Unparseable 0
Wrong 28.21875
Correct 32.375
Correct 30.59375
Wrong 34.8125
Correct 27.09375
Correct 20.78125
Correct 33.6875
Correct 27.46875
Correct 31.90625
Correct 26.40625
Wrong 26.25
Correct 28.734375
Correct 29.578125
Correct 30.453125
Correct 33.78125
Correct 27.0
Correct 27.625
Correct 25.125
Correct 35.15625
Correct 25.8125
Correct 30.84375
Correct 30.671875
Correct 27.921875
Correct 23.90625
Correct 28.75
Correct 26.453125
Correct 27.96875
Correct 26.328125
Correct 33.4375
Correct 31.578125
Correct 30.296875
Correct 27.828125
Correct 23.0625
Correct 18.3125
Correct 32.5625
Correct 31.46875
Correct 30.578125
Correct 29.6875
Correct 31.875
Correct 29.171875
Wrong 31.03125
Correct 30.71875
Correct 30.859375
Wrong 25.84375
Correct 29.890625
Correct 32.15625
Correct 32.125
Correct 28.296875
Correct 27.8125
Wrong 27.75
Correct 28.96875
Correct 33.21875
Correct 25.0625
Correct 27.9375
Wrong 30.25
Correct 29.25
Correct 28.6875
Correct 30.296875
Wrong 22.578125
Correct 19.71875
Correct 28.03125
Correct 24.0
Wrong 31.71875
Correct 31.1875
Correct 29.359375
Correct 29.40625
Correct 28.953125
Correct 27.203125
Wrong 31.015625
Correct 31.984375
Correct 30.90625
Correct 29.84375
Correct 26.46875
Correct 28.359375
Correct 33.0625
Wrong 28.25
Correct 30.765625
Wrong 32.84375
Correct 29.25
Wrong 30.859375
Correct 31.59375
Correct 29.1875
Correct 27.984375
Correct 31.4375
Correct 27.921875
Correct 25.265625
Correct 27.125
Wrong 21.125
Correct 34.9375
Correct 28.671875
Wrong 27.875
Correct 17.96875
Correct 25.203125
Correct 31.5625
Correct 33.28125
Correct 29.265625
Correct 31.1875
Correct 31.828125
Correct 19.171875
Correct 23.359375
Correct 25.234375
Correct 29.46875
Correct 25.109375
Wrong 23.34375
Correct 27.234375
Correct 31.328125
Correct 28.8125
Correct 33.71875
Correct 33.4375
Correct 20.96875
Correct 33.125
Wrong 29.703125
Correct 31.578125
Correct 33.5625
Correct 33.75
Correct 31.296875
Wrong 28.25
Correct 24.71875
Correct 33.71875
Wrong 24.890625
Correct 30.109375
Correct 27.84375
Wrong 19.890625
Wrong 20.796875
Correct 32.78125
Correct 30.46875
Correct 28.46875
Wrong 27.71875
Wrong 26.1875
Correct 27.46875
Correct 25.75
Wrong 31.359375
Correct 31.21875
Correct 29.65625
Correct 32.40625
Correct 27.828125
Correct 30.828125
Correct 29.703125
Correct 31.65625
Correct 34.75
Correct 29.5625
Correct 31.5
Correct 29.671875
Correct 27.375
Correct 27.1875
Correct 31.890625
Correct 30.046875
Correct 31.234375
Correct 27.625
Correct 27.453125
Correct 20.546875
Correct 26.03125
Correct 29.578125
Correct 29.484375
Wrong 26.5625
Correct 28.046875
Correct 28.65625
Correct 27.640625
Correct 33.09375
Correct 31.09375
Correct 32.96875
Correct 28.765625
Correct 31.78125
Wrong 32.53125
Correct 22.65625
Correct 29.4375
Correct 21.890625
Correct 30.46875
Correct 31.328125
Wrong 30.421875
Correct 27.125
Correct 30.328125
Correct 27.203125
Wrong 26.5
Correct 29.78125
Correct 28.078125
Correct 30.15625
Correct 23.90625
Correct 23.140625
Correct 22.421875
Correct 29.9375
Correct 30.515625
Wrong 24.953125
Correct 29.65625
Wrong 21.84375
Correct 34.6875
Correct 32.5
Correct 30.625
Correct 27.328125
Correct 26.953125
Correct 32.03125
Correct 28.234375
Correct 27.953125
Wrong 27.625
Correct 29.328125
Correct 24.359375
Correct 29.703125
Correct 31.9375
Wrong 23.28125
Wrong 23.5625
Wrong 29.375
Wrong 30.359375
Correct 25.234375
Correct 29.15625
Wrong 23.546875
Wrong 30.46875
Correct 26.5625
Correct 28.34375
Correct 34.0
Correct 34.0625
Correct 29.765625
Correct 22.296875
Correct 24.859375
Correct 27.234375
Correct 28.953125
Correct 25.984375
Unparseable 0
Wrong 26.359375
Correct 26.109375
Correct 23.375
Correct 31.546875
Correct 25.9375
Correct 30.59375
Correct 31.625
Correct 28.515625
Correct 26.265625
Correct 32.5625
Correct 30.109375
Correct 29.171875
Correct 26.171875
Correct 20.890625
Wrong 27.65625
Correct 28.625
Correct 28.953125
Wrong 27.875
Correct 27.21875
Correct 33.84375
Correct 28.796875
Correct 38.4375
Correct 25.03125
Correct 28.546875
Correct 29.125
Wrong 29.984375
Correct 22.75
Correct 33.03125
Correct 36.0625
Correct 28.6875
Correct 25.46875
Correct 31.28125
Correct 28.703125
Correct 32.09375
Correct 30.4375
Wrong 29.0625
Wrong 29.828125
Correct 33.75
Correct 30.78125
Correct 28.59375
Correct 22.703125
Correct 31.25
