grade confidence_level
Correct 50.28125
Correct 38.0625
Wrong 33.375
Correct 37.34375
Wrong 31.421875
Wrong 38.40625
Correct 41.9375
Wrong 37.625
Wrong 44.15625
Wrong 40.625
Correct 38.59375
Wrong 39.8125
Correct 36.34375
Wrong 38.84375
Correct 39.90625
Correct 38.46875
Correct 47.28125
Correct 40.21875
Correct 39.1875
Wrong 38.8125
Correct 40.65625
Wrong 39.40625
Wrong 41.03125
Wrong 41.8125
Correct 37.6875
Correct 34.25
Correct 40.40625
Wrong 36.65625
Wrong 35.5
Correct 37.59375
Wrong 33.90625
Wrong 37.71875
Wrong 47.90625
Correct 41.8125
Wrong 40.875
Correct 46.3125
Correct 40.8125
Correct 42.03125
Correct 40.15625
Correct 31.109375
Correct 39.375
Correct 39.46875
Wrong 40.0625
Wrong 37.71875
Wrong 32.625
Correct 35.1875
Correct 41.09375
Correct 42.96875
Wrong 42.09375
Wrong 42.40625
Wrong 48.0
Correct 40.5625
Correct 39.90625
Correct 40.625
Correct 40.6875
Correct 33.09375
Wrong 39.46875
Correct 37.4375
Correct 47.71875
Correct 33.5
Correct 37.3125
Wrong 32.8125
Wrong 33.40625
Correct 38.53125
Wrong 50.8125
Correct 45.09375
Correct 36.09375
Wrong 45.28125
Correct 45.5625
Correct 40.90625
Wrong 44.875
Correct 36.625
Wrong 46.90625
Wrong 35.75
Wrong 36.9375
Correct 35.875
Correct 50.40625
Correct 43.5
Correct 40.28125
Correct 45.625
Correct 46.75
Correct 44.25
Correct 44.875
Correct 40.9375
Unparseable 0
Correct 41.0
Correct 43.34375
Correct 43.125
Correct 43.3125
Correct 37.40625
Wrong 43.375
Correct 44.90625
Correct 42.40625
Correct 44.25
Correct 48.0
Correct 34.9375
Correct 39.46875
Correct 40.59375
Correct 41.96875
Wrong 39.3125
Wrong 41.03125
Correct 44.15625
Wrong 45.34375
Correct 45.125
Wrong 39.03125
Wrong 40.84375
Correct 35.8125
Correct 40.1875
Correct 36.40625
Correct 44.3125
Wrong 43.75
Correct 40.40625
Wrong 39.9375
Correct 43.5
Correct 37.1875
Correct 41.8125
Correct 36.0
Wrong 42.59375
Correct 39.15625
Wrong 48.1875
Correct 41.25
Correct 37.875
Correct 42.09375
Wrong 40.0
Wrong 38.6875
Wrong 38.59375
Wrong 37.8125
Wrong 45.65625
Wrong 37.125
Correct 41.21875
Correct 48.96875
Correct 38.21875
Correct 39.0625
Correct 42.625
Correct 44.25
Correct 32.1875
Wrong 41.625
Correct 40.46875
Correct 34.40625
Correct 33.75
Correct 41.90625
Wrong 38.40625
Correct 41.09375
Wrong 37.6875
Correct 33.4375
Wrong 35.34375
Correct 34.90625
Wrong 41.5
Wrong 44.1875
Correct 39.875
Wrong 38.96875
Correct 43.21875
Correct 47.21875
Correct 36.1875
Correct 42.59375
Correct 44.34375
Wrong 43.1875
Correct 37.75
Wrong 42.125
Wrong 37.09375
Correct 37.34375
Wrong 44.1875
Correct 40.3125
Wrong 39.40625
Correct 38.625
Wrong 40.5
Correct 38.46875
Wrong 40.03125
Wrong 34.125
Correct 35.03125
Correct 42.40625
Wrong 40.4375
Wrong 38.125
Wrong 42.8125
Wrong 40.90625
Correct 46.25
Correct 41.8125
Correct 40.65625
Correct 39.9375
Wrong 33.375
Wrong 33.625
Wrong 35.0625
Correct 38.0625
Correct 41.3125
Wrong 38.625
Correct 44.46875
Correct 37.34375
Correct 47.21875
Wrong 34.09375
Wrong 31.28125
Wrong 43.8125
Correct 41.59375
Correct 41.59375
Wrong 38.40625
Wrong 50.8125
Correct 35.9375
Correct 36.4375
Correct 42.125
