grade confidence_level
Correct 31.296875
Correct 30.5
Correct 33.3125
Correct 24.40625
Correct 28.234375
Correct 31.90625
Wrong 30.640625
Correct 31.421875
Wrong 27.15625
Correct 32.84375
Correct 22.28125
Correct 28.203125
Correct 26.40625
Correct 28.515625
Correct 24.171875
Wrong 33.34375
Wrong 26.171875
Correct 28.3125
Wrong 32.25
Correct 23.25
Wrong 26.515625
Abstained 25.5
Wrong 25.0
Correct 31.609375
Correct 31.78125
Correct 22.65625
Wrong 29.75
Correct 31.15625
Correct 33.21875
Correct 27.15625
Correct 26.75
Correct 30.671875
Correct 25.28125
Wrong 27.78125
Correct 30.515625
Wrong 31.0
Wrong 29.328125
Abstained 26.265625
Correct 29.921875
Wrong 30.890625
Wrong 27.84375
Correct 32.59375
Correct 21.875
Correct 26.234375
Wrong 32.40625
Correct 28.53125
Wrong 31.453125
Abstained 20.59375
Correct 24.046875
Wrong 32.09375
Wrong 25.359375
Wrong 22.3125
Correct 30.59375
Wrong 24.421875
Correct 26.328125
Wrong 27.59375
Correct 24.625
Wrong 25.4375
Correct 21.890625
Correct 32.625
Wrong 29.171875
Correct 31.515625
Correct 28.21875
Correct 32.46875
Correct 29.40625
Wrong 30.171875
Wrong 27.65625
Unparseable 0
Correct 21.75
Wrong 26.328125
Correct 29.46875
Correct 30.25
Correct 27.625
Correct 27.484375
Correct 29.90625
Correct 32.59375
Correct 29.015625
Abstained 30.765625
Correct 34.15625
Correct 25.515625
Wrong 22.515625
Wrong 24.703125
Correct 26.875
Wrong 28.890625
Wrong 28.734375
Correct 30.734375
Wrong 32.4375
Correct 29.84375
Wrong 27.875
Correct 28.78125
Wrong 25.328125
Correct 29.46875
Wrong 31.84375
Correct 31.453125
Correct 29.171875
Wrong 30.546875
Wrong 31.21875
Correct 32.6875
Correct 25.125
Correct 28.53125
Correct 23.515625
Correct 24.15625
Wrong 30.34375
Wrong 28.71875
Correct 28.703125
Correct 27.921875
Correct 32.6875
Correct 27.0625
Wrong 29.015625
Correct 28.96875
Correct 27.71875
Correct 25.8125
Wrong 30.828125
Correct 29.515625
Wrong 32.75
Correct 23.640625
Wrong 31.296875
Correct 30.59375
Wrong 30.109375
Correct 29.40625
Wrong 24.28125
Correct 27.90625
Correct 21.9375
Wrong 23.703125
Wrong 25.015625
Abstained 32.34375
Wrong 21.640625
Correct 31.8125
Correct 24.171875
Wrong 30.28125
Abstained 28.390625
Abstained 30.171875
Correct 32.0
Correct 24.796875
Correct 22.375
Correct 21.125
Correct 32.75
Unparseable 0
Wrong 25.84375
Correct 23.203125
Wrong 30.390625
Correct 25.59375
Correct 22.4375
Abstained 32.78125
Wrong 29.953125
Correct 23.21875
Correct 33.59375
Correct 26.15625
Correct 29.046875
Correct 30.0
Abstained 23.640625
Correct 32.5
Correct 31.21875
Abstained 29.15625
Wrong 31.34375
Wrong 25.015625
Correct 23.828125
Abstained 28.5
Correct 32.65625
Correct 17.890625
Correct 30.5625
Correct 31.15625
Correct 25.96875
Correct 28.171875
Wrong 31.203125
Wrong 29.734375
Correct 27.34375
Correct 30.359375
Correct 32.65625
Correct 31.25
Correct 32.78125
Correct 30.1875
Correct 22.609375
Correct 30.765625
Correct 31.59375
Correct 31.6875
Wrong 25.875
Correct 27.828125
Correct 27.4375
Correct 28.265625
Wrong 29.78125
Correct 23.109375
Correct 32.375
Wrong 27.1875
Correct 29.65625
Wrong 28.59375
Correct 30.359375
Abstained 28.390625
Correct 32.71875
Correct 24.84375
Correct 31.796875
Correct 27.5625
Correct 21.703125
Wrong 33.03125
Correct 25.0
Correct 30.09375
Correct 30.046875
Wrong 29.609375
Correct 22.90625
Wrong 22.234375
Correct 31.546875
Correct 30.28125
Abstained 26.203125
Correct 24.15625
Correct 30.703125
Correct 28.984375
Correct 29.625
Correct 31.609375
Wrong 27.328125
Correct 30.234375
Correct 24.484375
Wrong 28.53125
Correct 28.03125
Correct 24.21875
Correct 29.671875
Wrong 28.09375
Correct 28.4375
Correct 30.78125
Wrong 32.84375
Correct 29.375
Correct 29.8125
Wrong 24.859375
Correct 31.984375
Correct 32.9375
Correct 29.078125
Wrong 20.5
Wrong 22.609375
Correct 29.671875
Correct 31.3125
Correct 25.046875
Correct 31.328125
Correct 30.296875
Correct 29.1875
Correct 36.4375
Correct 30.59375
Correct 24.5625
Correct 30.109375
Correct 27.09375
Wrong 30.09375
Correct 31.046875
Correct 25.0
Correct 30.375
Correct 31.4375
Correct 26.703125
Correct 30.3125
Correct 29.515625
Wrong 31.640625
Correct 30.21875
Abstained 26.515625
Correct 34.21875
Abstained 28.5625
Correct 25.921875
Wrong 30.46875
Abstained 23.96875
Wrong 27.109375
Correct 27.53125
Wrong 24.046875
Abstained 27.265625
Correct 31.171875
Wrong 20.84375
Abstained 26.578125
Correct 29.703125
Wrong 31.90625
Correct 29.765625
Wrong 23.796875
Wrong 30.140625
Correct 24.59375
Wrong 32.125
Correct 29.65625
Correct 27.265625
Correct 29.71875
Correct 27.328125
Correct 33.3125
Wrong 20.28125
Correct 31.8125
Wrong 26.34375
Wrong 23.59375
Correct 31.0625
Wrong 28.90625
Correct 29.8125
Wrong 29.859375
Wrong 27.703125
Correct 29.9375
Correct 29.953125
Correct 30.140625
Correct 26.34375
Correct 31.84375
Correct 29.75
Correct 30.25
Abstained 29.3125
Correct 23.84375
Correct 25.53125
Correct 32.09375
Correct 30.375
Correct 29.625
Wrong 27.6875
Correct 28.046875
Correct 32.46875
Correct 30.328125
Correct 28.75
Correct 31.78125
Correct 30.875
Correct 31.671875
Correct 24.546875
Correct 34.75
Wrong 27.703125
Wrong 26.125
Correct 28.578125
Correct 33.0
Correct 25.625
Correct 26.265625
Wrong 26.03125
Correct 28.703125
Correct 30.34375
Correct 27.34375
Correct 27.5
Correct 30.046875
Correct 31.421875
Correct 33.4375
Correct 28.65625
Correct 28.515625
Correct 26.140625
Correct 29.671875
Correct 26.3125
Wrong 32.875
Wrong 28.375
Correct 25.484375
Wrong 25.4375
Correct 31.0625
Wrong 34.0625
Correct 27.703125
Wrong 31.859375
Wrong 28.640625
Wrong 31.25
Wrong 31.484375
Correct 20.890625
Correct 29.25
Correct 33.1875
Correct 31.4375
Correct 29.75
Correct 28.9375
Abstained 28.421875
Wrong 31.578125
Wrong 21.265625
Correct 32.21875
Wrong 31.71875
Correct 34.4375
Abstained 29.015625
Correct 20.203125
Correct 25.640625
Correct 32.25
Wrong 31.390625
Wrong 33.78125
Correct 30.609375
Correct 30.984375
Wrong 23.0625
Correct 24.609375
Correct 29.859375
Wrong 23.625
Correct 25.34375
Wrong 28.703125
Wrong 29.8125
Correct 30.359375
Correct 30.375
Wrong 30.65625
Wrong 27.359375
Correct 33.03125
Correct 22.6875
Wrong 29.703125
Correct 34.3125
Wrong 31.421875
Wrong 27.046875
Correct 29.140625
Wrong 24.046875
Correct 27.953125
Correct 31.90625
Correct 25.6875
Wrong 30.75
Correct 27.796875
Correct 30.765625
Correct 28.21875
Correct 31.03125
Abstained 24.78125
Correct 20.71875
Correct 29.375
Correct 32.5625
Abstained 30.78125
Correct 27.90625
Correct 30.71875
Correct 29.359375
Correct 28.796875
Correct 27.09375
Wrong 33.3125
Wrong 30.4375
Correct 27.515625
Wrong 30.125
Correct 31.171875
Correct 30.8125
Correct 28.453125
Correct 33.125
Correct 32.03125
Correct 20.640625
Correct 31.890625
Correct 30.8125
Wrong 25.4375
Wrong 31.90625
Correct 31.421875
Abstained 31.0625
Wrong 28.578125
Correct 22.953125
Correct 25.921875
Correct 34.34375
Wrong 29.328125
Correct 26.3125
Correct 27.34375
Correct 26.0
Correct 24.8125
Correct 33.40625
Correct 23.484375
Correct 31.28125
Wrong 25.953125
Correct 21.625
Correct 32.75
Correct 30.515625
Correct 31.296875
Correct 29.296875
Correct 33.5
Correct 27.3125
Correct 30.109375
Correct 27.953125
Correct 29.46875
Wrong 25.296875
Correct 30.6875
Wrong 23.625
Correct 25.265625
Correct 25.59375
Wrong 30.109375
Correct 31.96875
Correct 25.28125
Correct 33.03125
Correct 30.359375
Wrong 17.765625
Correct 32.0
Correct 27.09375
Wrong 24.59375
Wrong 31.28125
Correct 29.140625
Wrong 30.453125
Correct 32.28125
Correct 28.046875
Correct 21.78125
Correct 24.09375
Correct 28.078125
Wrong 29.375
Wrong 23.75
Wrong 28.921875
Wrong 27.90625
Wrong 27.328125
Correct 32.71875
Wrong 26.203125
Correct 28.46875
Correct 24.78125
Wrong 29.046875
Wrong 28.5
Correct 21.21875
Wrong 29.234375
Correct 29.3125
Correct 32.0
Abstained 27.390625
Wrong 26.109375
Correct 34.53125
Correct 28.6875
Correct 31.28125
Correct 29.203125
Correct 34.90625
Correct 29.28125
Correct 28.53125
Correct 27.3125
Correct 22.8125
Wrong 27.328125
Abstained 19.1875
Wrong 23.859375
Correct 29.8125
Correct 27.53125
Correct 30.078125
Correct 31.515625
Wrong 26.0
Wrong 29.96875
Wrong 22.90625
Wrong 32.4375
Correct 27.25
Correct 26.34375
Wrong 28.875
Abstained 28.3125
Correct 31.40625
Wrong 21.828125
Correct 28.5
Correct 27.796875
Correct 32.34375
Wrong 27.671875
