grade confidence_level
Wrong 26.9375
Correct 32.4375
Abstained 27.4375
Correct 32.8125
Correct 29.359375
Correct 30.65625
Correct 32.46875
Wrong 32.28125
Correct 31.609375
Correct 32.875
Correct 30.5
Correct 32.0625
Correct 28.671875
Correct 33.375
Correct 31.953125
Correct 29.796875
Wrong 27.65625
Correct 29.0
Correct 28.578125
Wrong 31.921875
Wrong 31.53125
Correct 29.359375
Wrong 23.421875
Correct 30.65625
Abstained 25.0625
Wrong 26.109375
Correct 31.171875
Correct 32.78125
Correct 28.9375
Correct 25.3125
Wrong 34.5
Wrong 29.078125
Wrong 32.65625
Correct 28.328125
Correct 27.75
Correct 25.71875
Correct 32.0625
Correct 29.65625
Correct 27.875
Correct 35.09375
Correct 28.5625
Wrong 30.859375
Wrong 29.734375
Correct 27.359375
Correct 29.78125
Wrong 27.734375
Correct 27.421875
Wrong 28.921875
Wrong 30.484375
Correct 35.15625
Correct 30.734375
Correct 24.421875
Correct 30.90625
Correct 26.71875
Wrong 21.25
Correct 30.640625
Wrong 29.703125
Wrong 30.25
Correct 27.046875
Correct 28.6875
Correct 21.546875
Correct 34.375
Correct 30.921875
Correct 32.46875
Wrong 26.9375
Wrong 29.375
Correct 34.4375
Wrong 31.984375
Abstained 20.78125
Correct 31.1875
Wrong 29.140625
Correct 25.8125
Correct 34.875
Correct 29.734375
Wrong 29.078125
Correct 27.171875
Correct 33.1875
Wrong 22.46875
Wrong 31.0
Correct 28.484375
Correct 31.75
Correct 31.953125
Correct 29.3125
Correct 25.03125
Correct 27.546875
Correct 32.53125
Correct 28.90625
Correct 24.796875
Correct 25.96875
Correct 34.0625
Wrong 32.1875
Correct 31.859375
Correct 28.265625
Correct 28.765625
Wrong 25.734375
Wrong 30.40625
Correct 30.578125
Correct 31.40625
Wrong 25.578125
Correct 28.15625
Correct 32.5625
Correct 28.78125
Wrong 28.65625
Wrong 31.75
Correct 29.390625
Wrong 28.40625
Wrong 27.875
Correct 28.53125
Correct 30.984375
Wrong 26.984375
Wrong 24.796875
Abstained 20.484375
Correct 30.359375
Correct 34.125
Correct 30.21875
Correct 32.875
Correct 28.234375
Wrong 24.515625
Correct 26.234375
Abstained 22.859375
Wrong 30.09375
Wrong 30.46875
Correct 32.59375
Correct 27.875
Correct 27.015625
Wrong 32.5625
Correct 31.046875
Correct 28.453125
Wrong 26.34375
Wrong 33.84375
Correct 32.71875
Correct 32.03125
Correct 29.78125
Correct 27.296875
Correct 28.796875
Correct 30.171875
Correct 27.359375
Abstained 23.25
Correct 32.3125
Correct 27.4375
Correct 26.296875
Correct 30.171875
Correct 30.796875
Correct 33.125
Wrong 32.15625
Correct 30.703125
Correct 22.109375
Wrong 32.21875
Correct 31.296875
Wrong 33.75
Correct 26.734375
Correct 22.78125
Correct 33.71875
Correct 30.6875
Wrong 22.453125
Correct 29.3125
Wrong 27.96875
Wrong 28.203125
Wrong 29.75
Correct 31.328125
Correct 30.421875
Correct 28.0
Correct 23.609375
Correct 33.625
